,IDXX
% Below High,0.036000000000000004
% Held by Institutions,0.8751000000000001
52-Wk Range,['168.65 - 298.64']
Annual Dividend $,
Annual Dividend %,
Ask,300.0
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.8
Bid,288.0
Bid Size,300.0
Closing Price,287.9
Day Change $,-6.36
Day Change %,-0.0216
Day High,298.64
Day Low,287.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.0
Ex-dividend Date,No dividend
Historical Volatility,0.375
Last (size),4.0
Last (time),4:15p ET 05/08/20
Market Cap,24.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",58.82
Prev Close,294.26
Short Interest,0.0246
Today's Open,296.28
Volume,538819.0
Volume 10-day Avg,566533.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.06567796610169485
Growth 1yr High Est,0.08113590263691695
Growth 1yr Consensus Est,0.007728968267611047
Growth 2yr Low Est,0.04765988316230452
Growth 2yr High Est,0.12593380497699502
Growth 2yr Consensus Est,0.08679684406964977
Growth 5yr Low Est,0.13167176363841948
Growth 5yr High Est,0.17956840075270358
Growth 5yr Consensus Est,0.15562008219556153
Growth 5yr Actual/Est,0.1635192013760982
Growth 3yr Historic,0.11166695293713502
Price/Earnings (TTM),58.8173
Price/Sales (TTM),10.17113
Price/Book (MRQ),232.1007
Price/Cash Flow (TTM),47.44196
5yr Low,61.58
5yr High,296.25
5yr Avg Return,0.2961333333333334
EPS Growth 5yr,0.2221209
Revenue Growth 5yr,0.1012842
Dividend Growth 5yr,
Short Int Current Month,2065839.0
Short Int Prev Month,1514518.0
Short Int Pct of Float,0.0245596
Days to Cover,3.20648
Float,83.86811
Shares Outstanding,84.93297
Institutions Holding Shares,1042.0
FCF Growth 5yr,0.216959745476838
"Price/Earnings (TTM, GAAP)",58.82
"PEG Ratio (TTM, GAAP)",3.18
Gross Profit Margin (TTM),0.5671
Operating Profit Margin (TTM),0.2295
Net Profit Margin (TTM),0.1778
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.24370000000000003
EPS Growth (TTM),0.1235
Revenue Growth (MRQ),0.0345
Revenue Growth (TTM),0.0913
Return On Equity (TTM),5.487000000000001
Return On Assets (TTM),0.245
Return On Investment (TTM),0.4303
Revenue Per Employee (TTM),267086.0
Total Debt/Total Capital (MRQ),0.9095000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),0.6
Interest Coverage (MRQ),19.11
newConstructs,3
researchTeam,reduce
cfra,1
theStreet,buy
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-06-06 00:00:00
cfra since,2020-04-24 00:00:00
theStreet since,2020-05-01 00:00:00
ford since,2020-03-06 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2016-02-03 00:00:00
