,2015,2016,2017,2018,2019,2020,Report
high,79.62,121.77,173.01,256.22,294.57,296.25,
low,61.58,63.48,113.92,157.53,176.11,168.65,
change,0.1218,0.6209,0.322,0.1804,0.43090000000000006,0.1008,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Equivalents,129.0,155.0,188.0,124.0,90.0,,Balance Sheet
Short Term Investments,214.0,237.0,284.0,0.0,,,Balance Sheet
Cash and Short Term Invs,343.0,392.0,472.0,124.0,90.0,,Balance Sheet
"Trade Accts Recvble, Gross",193.0,209.0,239.0,254.0,273.0,,Balance Sheet
Prov. for Doubtful Accts,-5.0,-5.0,-5.0,-5.0,-4.0,,Balance Sheet
"Trade Accts Recvble, Net",188.0,204.0,235.0,259.0,287.0,,Balance Sheet
Other Receivables,12.0,28.0,35.0,14.0,21.0,,Balance Sheet
"Total Receivables, Net",200.0,232.0,270.0,273.0,307.0,,Balance Sheet
Invent. - Finished Goods,139.0,115.0,114.0,124.0,134.0,,Balance Sheet
Invent. - Work In Progress,19.0,15.0,18.0,17.0,20.0,,Balance Sheet
Invent. - Raw Materials,31.0,28.0,33.0,32.0,41.0,,Balance Sheet
Total Inventory,189.0,158.0,164.0,173.0,195.0,,Balance Sheet
Prepaid Expenses,27.0,26.0,29.0,30.0,32.0,,Balance Sheet
Deferred Income Tax,49.0,39.0,25.0,29.0,33.0,,Balance Sheet
Other Current Assets,23.0,38.0,37.0,54.0,55.0,,Balance Sheet
"Other Curr. Assets, Total",63.0,38.0,37.0,54.0,55.0,,Balance Sheet
Total Current Assets,822.0,846.0,972.0,654.0,680.0,,Balance Sheet
Buildings,203.0,216.0,232.0,258.0,325.0,,Balance Sheet
Land/Improvements,7.0,7.0,7.0,9.0,9.0,,Balance Sheet
Machinery/Equipment,394.0,452.0,491.0,517.0,563.0,,Balance Sheet
Construction in Progress,36.0,25.0,33.0,71.0,103.0,,Balance Sheet
Other Prop./Plant/Equip.,39.0,42.0,47.0,52.0,134.0,,Balance Sheet
Prop./Plant/Equip. - Gross,679.0,743.0,812.0,906.0,1133.0,,Balance Sheet
Accumulated Depreciation,-346.0,-385.0,-433.0,-469.0,-519.0,,Balance Sheet
Prop./Plant/Equip. - Net,333.0,357.0,379.0,437.0,614.0,,Balance Sheet
"Goodwill, Net",179.0,178.0,200.0,214.0,240.0,,Balance Sheet
Intangibles - Gross,126.0,108.0,114.0,105.0,116.0,,Balance Sheet
Accum. Intangible Amort.,-70.0,-62.0,-70.0,-63.0,-57.0,,Balance Sheet
Intangibles - Net,56.0,46.0,44.0,42.0,58.0,,Balance Sheet
Long Term Investments,12.0,11.0,10.0,11.0,14.0,,Balance Sheet
Note Rcvble - Long Term,,,,31.0,81.0,,Balance Sheet
Other Long Term Assets,73.0,92.0,101.0,139.0,137.0,,Balance Sheet
Total Assets,1475.0,1531.0,1713.0,1537.0,1832.0,,Balance Sheet
Accounts Payable,53.0,60.0,67.0,70.0,72.0,,Balance Sheet
Accrued Expenses,185.0,211.0,224.0,233.0,289.0,,Balance Sheet
Notes Payable/ST Debt,573.0,611.0,655.0,399.0,289.0,,Balance Sheet
Customer Advances,26.0,27.0,29.0,41.0,41.0,,Balance Sheet
Income Taxes Payable,19.0,24.0,29.0,27.0,31.0,,Balance Sheet
Other Current Liabilities,2.0,1.0,,1.0,3.0,,Balance Sheet
"Other Curr. Lblts, Total",46.0,52.0,59.0,69.0,75.0,,Balance Sheet
Total Current Liabilities,857.0,935.0,1005.0,770.0,725.0,,Balance Sheet
Total Long Term Debt,500.0,499.0,500.0,500.0,599.0,,Balance Sheet
Total Debt,1073.0,1110.0,1155.0,899.0,888.0,,Balance Sheet
Minority Interest,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
"Other Liabilities, Total",153.0,166.0,238.0,247.0,297.0,,Balance Sheet
Total Liabilities,1559.0,1639.0,1768.0,1547.0,1655.0,,Balance Sheet
Common Stock,16.0,16.0,16.0,15.0,15.0,,Balance Sheet
Additional Paid-In Capital,941.0,1012.0,1074.0,1138.0,1214.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),318.0,540.0,804.0,1168.0,1596.0,,Balance Sheet
Treasury Stock - Common,-1316.0,-1633.0,-1912.0,-2289.0,-2601.0,,Balance Sheet
Unrealized Gain (Loss),0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Cum. Trans. Adjustment,-46.0,-52.0,-27.0,-49.0,-50.0,,Balance Sheet
Other Comprehensive Income,4.0,9.0,-10.0,7.0,4.0,,Balance Sheet
"Other Equity, Total",-42.0,-43.0,-36.0,-42.0,-46.0,,Balance Sheet
Total Equity,-84.0,-108.0,-54.0,-10.0,177.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,1475.0,1531.0,1713.0,1537.0,1832.0,,Balance Sheet
Ttl Comm. Shares Outs.,90.0,88.0,87.0,86.0,85.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,12.0,15.0,17.0,19.0,20.0,,Balance Sheet
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Income Statement
Total Revenue,1602.0,1775.0,1969.0,2213.0,2407.0,,Income Statement
"Cost of Revenue, Total",712.0,800.0,872.0,972.0,1041.0,,Income Statement
Selling/Gen/Admin Expense,481.0,521.0,572.0,625.0,677.0,,Income Statement
Advertising Expense,1.0,2.0,2.0,2.0,2.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",482.0,523.0,574.0,627.0,678.0,,Income Statement
Research & Development,100.0,101.0,109.0,118.0,133.0,,Income Statement
"Inter/Invest Inc, Operating",,1.0,1.0,3.0,1.0,,Income Statement
Impair-Assets Held for Use,8.0,,0.0,3.0,,,Income Statement
Unusual Expense (Income),8.0,,0.0,3.0,,,Income Statement
Total Operating Expense,1302.0,1425.0,1556.0,1722.0,1854.0,,Income Statement
Total Operating Income,300.0,350.0,413.0,491.0,553.0,,Income Statement
"Inter Expse,Net Non-Operat",-29.0,-32.0,-37.0,-35.0,-31.0,,Income Statement
"Inter/Invest Inc, Non-Oper",2.0,4.0,5.0,1.0,0.0,,Income Statement
Income Before Tax,273.0,322.0,381.0,458.0,522.0,,Income Statement
Income Tax - Total,81.0,100.0,87.0,79.0,94.0,,Income Statement
Income After Tax,192.0,222.0,294.0,379.0,428.0,,Income Statement
Minority Interest,0.0,0.0,0.0,0.0,0.0,,Income Statement
Net Inc Before Extra Items,192.0,222.0,294.0,379.0,428.0,,Income Statement
Total Extraordinary Items,,,-31.0,-2.0,,,Income Statement
Total Net Income,192.0,222.0,263.0,377.0,428.0,,Income Statement
Income Available to Common Excl. Extra. Items,192.0,222.0,294.0,379.0,428.0,,Income Statement
Income Available to Common Incl. Extra. Items,192.0,222.0,263.0,377.0,428.0,,Income Statement
Basic/Primary Weighted Average Shares,93.0,90.0,88.0,87.0,86.0,,Income Statement
Basic/Primary EPS Excl. Extra. Items,2.07,2.47,3.35,4.36,4.97,,Income Statement
Basic/Primary EPS Incl. Extra. Items,2.07,2.47,3.0,4.34,4.97,,Income Statement
Diluted Weighted Average Shares,94.0,91.0,90.0,88.0,88.0,,Income Statement
Diluted EPS Excl. Extra. Items,2.05,2.44,3.28,4.29,4.89,,Income Statement
Diluted EPS Incl. Extra. Items,2.05,2.44,2.94,4.26,4.89,,Income Statement
Div/Share-ComStockPrimIssue,0.0,,,,,,Income Statement
Gross Divid - Common Stock,0.0,0.0,0.0,0.0,0.0,,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",29.0,32.0,37.0,35.0,31.0,,Income Statement
"Depreciat/Amort, Suppl",59.0,69.0,74.0,74.0,79.0,,Income Statement
Total Special Items,8.0,,0.0,3.0,,,Income Statement
Normalzd Income Before Tax,281.0,322.0,381.0,460.0,522.0,,Income Statement
Efct/SpecItemsIncTxs (STEC),2.0,,0.0,0.0,,,Income Statement
IncTxsExcl ImpctofSpec Itms,83.0,100.0,87.0,79.0,94.0,,Income Statement
Normalized Income After Tax,198.0,222.0,294.0,381.0,428.0,,Income Statement
Normalzd Inc Avail to Common,198.0,222.0,294.0,381.0,428.0,,Income Statement
