,IDXX
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.06567796610169485
Growth 1yr High Est,0.08113590263691695
Growth 1yr Consensus Est,0.007728968267611047
Growth 2yr Low Est,0.04765988316230452
Growth 2yr High Est,0.12593380497699502
Growth 2yr Consensus Est,0.08679684406964977
Growth 5yr Low Est,0.13167176363841948
Growth 5yr High Est,0.17956840075270358
Growth 5yr Consensus Est,0.15562008219556153
Growth 5yr Actual/Est,0.1635192013760982
Growth 3yr Historic,0.11166695293713502
