,HII
% Above Low,0.2273
% Held by Institutions,0.878
52-Wk Range,['147.14 - 279.71']
Annual Dividend $,4.12
Annual Dividend %,0.023799999999999998
Ask,191.4
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,180.0
Bid Size,100.0
Closing Price,180.58
Day Change $,7.27
Day Change %,0.04190000000000001
Day High,184.42
Day Low,175.0
Dividend Pay Date,2020-06-12 00:00:00
"EPS (TTM, GAAP)",14.63
Ex-dividend,2020-05-28 00:00:00
Ex-dividend Date,05/28/20
Historical Volatility,0.39
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,7.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.84
Prev Close,173.31
Short Interest,0.021099999999999997
Today's Open,175.0
Volume,554116.0
Volume 10-day Avg,410417.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-08-06 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.32352941176470584
Growth 1yr High Est,0.49039145907473314
Growth 1yr Consensus Est,0.4069604354197195
Growth 2yr Low Est,0.0062091503267973636
Growth 2yr High Est,0.11888245351062349
Growth 2yr Consensus Est,0.06254580191871043
Growth 5yr Low Est,0.07870765934753507
Growth 5yr High Est,0.12574102869466436
Growth 5yr Consensus Est,0.10222434402109971
Growth 5yr Actual/Est,0.10828587513760668
Growth 3yr Historic,0.07659493356277336
Price/Earnings (TTM),11.84421
Price/Sales (TTM),0.77713
Price/Book (MRQ),4.2721
Price/Cash Flow (TTM),8.41222
5yr Low,102.76
5yr High,279.71
5yr Avg Return,0.11333333333333334
EPS Growth 5yr,0.141039
Revenue Growth 5yr,0.050470499999999995
Dividend Growth 5yr,0.292711
Short Int Current Month,835061.0
Short Int Prev Month,818131.0
Short Int Pct of Float,0.0210844
Days to Cover,2.92783
Float,39.9558
Shares Outstanding,40.72388
Institutions Holding Shares,708.0
FCF Growth 5yr,-0.10841990980716099
"Price/Earnings (TTM, GAAP)",11.84
"PEG Ratio (TTM, GAAP)",2.36
Gross Profit Margin (TTM),0.179
Operating Profit Margin (TTM),0.087
Net Profit Margin (TTM),0.0664
Annual Dividend Yield,0.023799999999999998
Dividend Change %,0.1954
"Dividend Growth Rate, 3 Years",0.1979
EPS Growth (MRQ),0.17420000000000002
EPS Growth (TTM),-0.20800000000000002
Revenue Growth (MRQ),-0.0618
Revenue Growth (TTM),0.0835
Return On Equity (TTM),0.3762
Return On Assets (TTM),0.0825
Return On Investment (TTM),0.114
Revenue Per Employee (TTM),216238.0
Total Debt/Total Capital (MRQ),0.5165
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),0.95
Interest Coverage (MRQ),20.9
theStreet,hold
newConstructs,2
researchTeam,hold
creditSuisse,neutral
cfra,4
ford,1
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet since,2020-03-24 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
creditSuisse since,2020-04-28 00:00:00
cfra since,2018-11-08 00:00:00
ford since,2020-02-14 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
