,DLTR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.1,24.53,Valuation,0.9009376273950265
Price/Sales (TTM),0.77,1.05,Valuation,0.7333333333333333
Price/Book (MRQ),2.9,4.86,Valuation,0.5967078189300411
"PEG Ratio (TTM, GAAP)",3.14,0.77,Valuation,4.077922077922078
Gross Profit Margin (TTM),0.2982,0.309,Profitability,0.9650485436893205
Operating Profit Margin (TTM),0.0535,0.0678,Profitability,0.7890855457227138
Net Profit Margin (TTM),0.035,0.048600000000000004,Profitability,0.720164609053498
Annual Dividend Yield,,0.0166,Dividend,
Dividend Change %,,0.0512,Dividend,
"Dividend Growth Rate, 3 Years",,0.0487,Dividend,
EPS Growth (MRQ),-0.5208,0.21910000000000002,Gowth rates,-2.376996805111821
EPS Growth (TTM),1.5191999999999999,0.318,Gowth rates,4.777358490566037
Revenue Growth (MRQ),0.099,0.0379,Gowth rates,2.6121372031662267
Revenue Growth (TTM),0.0345,0.051500000000000004,Gowth rates,0.6699029126213593
Return On Equity (TTM),0.139,0.2495,Effectiveness,0.5571142284569138
Return On Assets (TTM),0.05,0.0787,Effectiveness,0.6353240152477764
Return On Investment (TTM),0.060300000000000006,0.1084,Effectiveness,0.5562730627306274
Revenue Per Employee (TTM),414953.0,248755.0,Effectiveness,1.6681192337842456
Total Debt/Total Capital (MRQ),0.3762,0.40399999999999997,Financial strength,0.9311881188118812
Change in Debt/Total Capital Quarter over Quarter,-0.0039000000000000003,-0.0022,Financial strength,1.7727272727272727
Quick Ratio (MRQ),0.21,0.22,Financial strength,0.9545454545454545
Interest Coverage (MRQ),15.26,16.63,Financial strength,0.9176187612748046
