,KMX
% Below High,0.25670000000000004
% Held by Institutions,0.9981
52-Wk Range,['37.59 - 103.18']
Annual Dividend $,
Annual Dividend %,
Ask,77.35
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.7
Bid,76.69
Bid Size,400.0
Closing Price,76.69
Day Change $,3.82
Day Change %,0.0524
Day High,76.94
Day Low,73.82
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.32
Ex-dividend Date,No dividend
Historical Volatility,0.543
Last (size),61.0
Last (time),6:30p ET 05/08/20
Market Cap,12.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.69
Prev Close,72.87
Short Interest,0.1009
Today's Open,75.01
Volume,1578111.0
Volume 10-day Avg,2049075.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-06-19 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-1.107843137254902
Growth 1yr High Est,-0.10857142857142865
Growth 1yr Consensus Est,-0.6082072829131653
Growth 2yr Low Est,-4.6902852049910875
Growth 2yr High Est,0.06537240537240535
Growth 2yr Consensus Est,-2.3124563998093413
Growth 5yr Low Est,-2.2564602200385315
Growth 5yr High Est,0.11160488333194293
Growth 5yr Consensus Est,-1.0724276683532943
Growth 5yr Actual/Est,0.2007066611590772
Growth 3yr Historic,0.10183236472380519
Price/Earnings (TTM),13.68805
Price/Sales (TTM),0.58301
Price/Book (MRQ),3.15313
Price/Cash Flow (TTM),10.72844
5yr Low,37.59
5yr High,103.18
5yr Avg Return,0.036583333333333336
EPS Growth 5yr,0.14286379999999999
Revenue Growth 5yr,0.07326679999999999
Dividend Growth 5yr,
Short Int Current Month,16395859.0
Short Int Prev Month,14377160.0
Short Int Pct of Float,0.1009301
Days to Cover,6.38963
Float,161.8909
Shares Outstanding,162.5747
Institutions Holding Shares,807.0
FCF Growth 5yr,0.6732781686857154
"Price/Earnings (TTM, GAAP)",13.69
"PEG Ratio (TTM, GAAP)",1.2
Gross Profit Margin (TTM),0.134
Operating Profit Margin (TTM),0.0571
Net Profit Margin (TTM),0.0437
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2466
EPS Growth (TTM),0.11050000000000001
Revenue Growth (MRQ),0.036000000000000004
Revenue Growth (TTM),0.11810000000000001
Return On Equity (TTM),0.2494
Return On Assets (TTM),0.0446
Return On Investment (TTM),0.0481
Revenue Per Employee (TTM),751201.0
Total Debt/Total Capital (MRQ),0.804
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),0.53
Interest Coverage (MRQ),
newConstructs,1
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,3
theStreet,hold
cfra,5
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-04 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-16 00:00:00
cfra since,2019-05-30 00:00:00
ford since,2019-12-27 00:00:00
creditSuisse since,2016-12-21 00:00:00
