,KMX
Price/Earnings (TTM),13.68805
Price/Sales (TTM),0.58301
Price/Book (MRQ),3.15313
Price/Cash Flow (TTM),10.72844
5yr Low,37.59
5yr High,103.18
5yr Avg Return,0.036583333333333336
EPS Growth 5yr,0.14286379999999999
Revenue Growth 5yr,0.07326679999999999
Dividend Growth 5yr,
Short Int Current Month,16395859.0
Short Int Prev Month,14377160.0
Short Int Pct of Float,0.1009301
Days to Cover,6.38963
Float,161.8909
Shares Outstanding,162.5747
Institutions Holding Shares,807.0
% Held by Institutions,0.998135
FCF Growth 5yr,0.6732781686857154
