,VZ
% Below High,0.0839
% Held by Institutions,0.6534
52-Wk Range,['48.84 - 62.22']
Annual Dividend $,2.46
Annual Dividend %,0.0443
Ask,57.16
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,0.4
Bid,57.03
Bid Size,1000.0
Closing Price,57.0
Day Change $,1.42
Day Change %,0.0255
Day High,57.03
Day Low,56.03
Dividend Pay Date,2020-05-01 00:00:00
"EPS (TTM, GAAP)",4.44
Ex-dividend,2020-04-09 00:00:00
Ex-dividend Date,04/09/20
Historical Volatility,0.245
Last (size),60.0
Last (time),6:30p ET 05/08/20
Market Cap,235.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.83
Prev Close,55.58
Short Interest,0.0085
Today's Open,56.22
Volume,11100308.0
Volume 10-day Avg,14036816.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.04801670146137793
Growth 1yr High Est,0.004123711340206171
Growth 1yr Consensus Est,-0.02194649506058588
Growth 2yr Low Est,-0.013043438449987121
Growth 2yr High Est,0.024649124663942867
Growth 2yr Consensus Est,0.005802843106977873
Growth 5yr Low Est,0.0668760560375814
Growth 5yr High Est,0.07443526544634649
Growth 5yr Consensus Est,0.07065566074196394
Growth 5yr Actual/Est,0.07490161639655835
Growth 3yr Historic,0.07014742781884031
Price/Earnings (TTM),12.83269
Price/Sales (TTM),1.7957
Price/Book (MRQ),3.91738
Price/Cash Flow (TTM),6.64111
5yr Low,38.06
5yr High,62.22
5yr Avg Return,0.02516666666666666
EPS Growth 5yr,0.1399141
Revenue Growth 5yr,0.0074259
Dividend Growth 5yr,0.0251089
Short Int Current Month,35160641.0
Short Int Prev Month,34353526.0
Short Int Pct of Float,0.0084953
Days to Cover,2.11574
Float,4136.855
Shares Outstanding,4137.996
Institutions Holding Shares,3171.0
FCF Growth 5yr,0.29829994681725036
"Price/Earnings (TTM, GAAP)",12.83
"PEG Ratio (TTM, GAAP)",6.75
Gross Profit Margin (TTM),0.5886
Operating Profit Margin (TTM),0.19219999999999998
Net Profit Margin (TTM),0.14400000000000002
Annual Dividend Yield,0.0432
Dividend Change %,0.0211
"Dividend Growth Rate, 3 Years",0.0215
EPS Growth (MRQ),-0.1845
EPS Growth (TTM),0.1482
Revenue Growth (MRQ),-0.091
Revenue Growth (TTM),0.001
Return On Equity (TTM),0.3169
Return On Assets (TTM),0.0654
Return On Investment (TTM),0.0763
Revenue Per Employee (TTM),972963.0
Total Debt/Total Capital (MRQ),0.6563
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),0.95
Interest Coverage (MRQ),7.58
newConstructs,2
researchTeam,reduce
marketEdge opinion,long
marketEdge,0
theStreet,buy
cfra,2
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-01-25 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2017-08-09 00:00:00
cfra since,2019-01-29 00:00:00
ford since,2019-12-06 00:00:00
creditSuisse since,2020-02-03 00:00:00
