,VZ
Price/Earnings (TTM),12.83269
Price/Sales (TTM),1.7957
Price/Book (MRQ),3.91738
Price/Cash Flow (TTM),6.64111
5yr Low,38.06
5yr High,62.22
5yr Avg Return,0.02516666666666666
EPS Growth 5yr,0.1399141
Revenue Growth 5yr,0.0074259
Dividend Growth 5yr,0.0251089
Short Int Current Month,35160641.0
Short Int Prev Month,34353526.0
Short Int Pct of Float,0.0084953
Days to Cover,2.11574
Float,4136.855
Shares Outstanding,4137.996
Institutions Holding Shares,3171.0
% Held by Institutions,0.6534
FCF Growth 5yr,0.29829994681725036
