,T
% Above Low,0.1423
% Held by Institutions,0.5394
52-Wk Range,['26.08 - 39.70']
Annual Dividend $,2.08
Annual Dividend %,0.07200000000000001
Ask,29.79
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,0.7
Bid,29.76
Bid Size,400.0
Closing Price,29.79
Day Change $,0.9
Day Change %,0.031200000000000002
Day High,29.85
Day Low,29.21
Dividend Pay Date,2020-05-01 00:00:00
"EPS (TTM, GAAP)",1.97
Ex-dividend,2020-04-08 00:00:00
Ex-dividend Date,04/08/20
Historical Volatility,0.33799999999999997
Last (size),50.0
Last (time),6:30p ET 05/08/20
Market Cap,212.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.11
Prev Close,28.89
Short Interest,0.0176
Today's Open,29.29
Volume,24047674.0
Volume 10-day Avg,33756640.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,-0.045454545454545525
Growth 1yr High Est,-0.02197802197802201
Growth 1yr Consensus Est,-0.03371628371628377
Growth 2yr Low Est,-0.029529993815708144
Growth 2yr High Est,0.02271885417952829
Growth 2yr Consensus Est,-0.0034055698180899263
Growth 5yr Low Est,0.02041320480761477
Growth 5yr High Est,0.0677816581443482
Growth 5yr Consensus Est,0.04409743147598148
Growth 5yr Actual/Est,0.027554128414641416
Growth 3yr Historic,0.0420757265275708
Price/Earnings (TTM),15.11347
Price/Sales (TTM),1.18482
Price/Book (MRQ),1.19396
Price/Cash Flow (TTM),4.8473
5yr Low,26.08
5yr High,43.89
5yr Avg Return,0.007316666666666655
EPS Growth 5yr,0.0891107
Revenue Growth 5yr,0.0646819
Dividend Growth 5yr,0.0208513
Short Int Current Month,126051333.0
Short Int Prev Month,128267013.0
Short Int Pct of Float,0.0175892
Days to Cover,3.09793
Float,7118.653
Shares Outstanding,7125.0
Institutions Holding Shares,3083.0
FCF Growth 5yr,0.12784956965104638
"Price/Earnings (TTM, GAAP)",15.11
"PEG Ratio (TTM, GAAP)",6.25
Gross Profit Margin (TTM),0.5385
Operating Profit Margin (TTM),0.1575
Net Profit Margin (TTM),0.087
Annual Dividend Yield,0.0698
Dividend Change %,0.02
"Dividend Growth Rate, 3 Years",0.0204
EPS Growth (MRQ),0.9470999999999999
EPS Growth (TTM),-0.2345
Revenue Growth (MRQ),-0.08630000000000002
Revenue Growth (TTM),0.009000000000000001
Return On Equity (TTM),0.0793
Return On Assets (TTM),0.0285
Return On Investment (TTM),0.0335
Revenue Per Employee (TTM),728232.0
Total Debt/Total Capital (MRQ),0.45670000000000005
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.19
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,hold
cfra,4
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-04-13 00:00:00
cfra since,2020-03-21 00:00:00
ford since,2020-04-24 00:00:00
creditSuisse since,2019-07-25 00:00:00
