,2015,2016,2017,2018,2019,2020,Report
high,127.48,147.55,155.05,163.11,126.54,93.34,
low,85.87,69.94,106.73,93.31,61.37,33.13,
change,-0.2231,0.4307,0.1106,-0.31870000000000004,-0.128,-0.3344,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,229.0,53.0,0.0,0.0,70.0,,Balance Sheet
"Trade Accts Recvble, Gross",192.0,221.0,332.0,471.0,311.0,,Balance Sheet
Prov. for Doubtful Accts,-1.0,-1.0,-1.0,-5.0,-7.0,,Balance Sheet
"Total Receivables, Net",395.0,458.0,543.0,831.0,888.0,,Balance Sheet
Total Inventory,,16.0,14.0,35.0,30.0,,Balance Sheet
Prepaid Expenses,39.0,31.0,35.0,59.0,61.0,,Balance Sheet
"Other Curr. Assets, Total",652.0,4.0,0.0,484.0,6.0,,Balance Sheet
Total Current Assets,1315.0,562.0,592.0,1409.0,1055.0,,Balance Sheet
Natural Resources,15846.0,18476.0,21267.0,31706.0,28785.0,,Balance Sheet
Other Prop./Plant/Equip.,178.0,216.0,234.0,308.0,437.0,,Balance Sheet
Prop./Plant/Equip. - Gross,16025.0,18692.0,21501.0,32014.0,29222.0,,Balance Sheet
Accumulated Depreciation,-5048.0,-7390.0,-8460.0,-9701.0,-7895.0,,Balance Sheet
Prop./Plant/Equip. - Net,10977.0,11302.0,13041.0,22313.0,21327.0,,Balance Sheet
"Goodwill, Net",,,,2224.0,1917.0,,Balance Sheet
Intangibles - Gross,37.0,37.0,42.0,,,,Balance Sheet
Accum. Intangible Amort.,-11.0,-13.0,-16.0,,,,Balance Sheet
Intangibles - Net,26.0,24.0,26.0,19.0,17.0,,Balance Sheet
Deferred Charges,16.0,11.0,13.0,10.0,7.0,,Balance Sheet
Restricted Cash - LT,,43.0,0.0,,,,Balance Sheet
Other Long Term Assets,309.0,177.0,60.0,319.0,409.0,,Balance Sheet
Total Assets,12642.0,12119.0,13732.0,26294.0,24732.0,,Balance Sheet
Accounts Payable,13.0,28.0,43.0,50.0,53.0,,Balance Sheet
Accrued Expenses,398.0,489.0,478.0,828.0,666.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,116.0,159.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,7.0,,Balance Sheet
Customer Advances,170.0,132.0,183.0,253.0,268.0,,Balance Sheet
Other Current Liabilities,16.0,104.0,345.0,66.0,188.0,,Balance Sheet
"Other Curr. Lblts, Total",185.0,236.0,528.0,319.0,456.0,,Balance Sheet
Total Current Liabilities,596.0,753.0,1165.0,1356.0,1182.0,,Balance Sheet
Long Term Debt,3332.0,2741.0,2691.0,4194.0,3955.0,,Balance Sheet
Capital Lease Obligations,,,,,10.0,,Balance Sheet
Total Long Term Debt,3332.0,2741.0,2691.0,4194.0,3965.0,,Balance Sheet
Total Debt,3332.0,2741.0,2807.0,4353.0,3972.0,,Balance Sheet
Deferred Income Tax,1630.0,766.0,687.0,1808.0,1654.0,,Balance Sheet
Reserves,140.0,140.0,172.0,168.0,133.0,,Balance Sheet
Other LT Liabilities,,96.0,102.0,0.0,16.0,,Balance Sheet
"Other Liabilities, Total",140.0,236.0,274.0,168.0,149.0,,Balance Sheet
Total Liabilities,5699.0,4496.0,4817.0,7526.0,6950.0,,Balance Sheet
Common Stock,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Additional Paid-In Capital,4628.0,6783.0,7142.0,14773.0,14608.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),2346.0,884.0,1840.0,4126.0,3320.0,,Balance Sheet
Treasury Stock - Common,-32.0,-44.0,-67.0,-131.0,-146.0,,Balance Sheet
Total Equity,6943.0,7623.0,8915.0,18768.0,17782.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,12642.0,12119.0,13732.0,26294.0,24732.0,,Balance Sheet
Ttl Comm. Shares Outs.,129.0,146.0,149.0,200.0,198.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,0.0,0.0,1.0,1.0,1.0,,Balance Sheet
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Income Statement
Total Revenue,1804.0,1635.0,2586.0,4151.0,4592.0,,Income Statement
"Cost of Revenue, Total",541.0,320.0,408.0,590.0,716.0,,Income Statement
Selling/Gen/Admin Expense,168.0,298.0,383.0,589.0,705.0,,Income Statement
Labor & Related Expense,63.0,59.0,60.0,82.0,85.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",231.0,357.0,443.0,671.0,790.0,,Income Statement
Research & Development,59.0,77.0,59.0,65.0,201.0,,Income Statement
Depreciation,1222.0,1166.0,1143.0,1475.0,1962.0,,Income Statement
Amortiz of Intangibles,1.0,1.0,3.0,3.0,2.0,,Income Statement
Depreciation/Amortization,1223.0,1167.0,1146.0,1478.0,1964.0,,Income Statement
"Inter/Invest Inc, Operating",-700.0,369.0,126.0,-832.0,895.0,,Income Statement
Impair-Assets Held for Use,61.0,1525.0,0.0,0.0,1172.0,,Income Statement
Other Unusual Expnse (In),,61.0,69.0,39.0,1.0,,Income Statement
Unusual Expense (Income),114.0,1468.0,-609.0,-761.0,1003.0,,Income Statement
Loss(Gain)/Sale Asts (Oper),54.0,-118.0,-678.0,-800.0,-170.0,,Income Statement
Other Operating Expense,8.0,7.0,8.0,10.0,10.0,,Income Statement
"Other Operat Expse, Total",8.0,7.0,8.0,10.0,10.0,,Income Statement
Total Operating Expense,1476.0,3765.0,1581.0,1221.0,5579.0,,Income Statement
Total Operating Income,327.0,-2130.0,1005.0,2930.0,-987.0,,Income Statement
"Inter Expse, Non-Operating",-220.0,-204.0,-149.0,-157.0,-204.0,,Income Statement
"Inter Capital, Non-Operat",5.0,0.0,3.0,8.0,19.0,,Income Statement
Gain(Loss)on Sale of Assets,0.0,,,,,,Income Statement
"Other, Net",-15.0,-4.0,22.0,108.0,313.0,,Income Statement
Income Before Tax,97.0,-2338.0,881.0,2889.0,-859.0,,Income Statement
Income Tax - Total,31.0,-876.0,323.0,610.0,-154.0,,Income Statement
Income After Tax,66.0,-1462.0,558.0,2279.0,-705.0,,Income Statement
Net Inc Before Extra Items,66.0,-1462.0,558.0,2279.0,-705.0,,Income Statement
Total Extraordinary Items,,,398.0,7.0,0.0,,Income Statement
Total Net Income,66.0,-1462.0,956.0,2286.0,-705.0,,Income Statement
Total Adjust to Net Income,-1.0,0.0,-7.0,-17.0,-1.0,,Income Statement
Income Available to Common Excl. Extra. Items,65.0,-1462.0,551.0,2262.0,-706.0,,Income Statement
Income Available to Common Incl. Extra. Items,65.0,-1462.0,949.0,2269.0,-706.0,,Income Statement
Basic/Primary Weighted Average Shares,120.0,135.0,147.0,171.0,199.0,,Income Statement
Basic/Primary EPS Excl. Extra. Items,0.54,-10.85,3.74,13.23,-3.55,,Income Statement
Basic/Primary EPS Incl. Extra. Items,0.54,-10.85,6.44,13.27,-3.55,,Income Statement
Dilution Adjustment,0.0,,,,,,Income Statement
Diluted Weighted Average Shares,120.0,135.0,148.0,171.0,199.0,,Income Statement
Diluted EPS Excl. Extra. Items,0.54,-10.85,3.72,13.21,-3.55,,Income Statement
Diluted EPS Incl. Extra. Items,0.54,-10.85,6.41,13.25,-3.55,,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.5,,Income Statement
Gross Divid - Common Stock,0.0,0.0,0.0,0.0,101.0,,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",215.0,204.0,146.0,149.0,185.0,,Income Statement
"Interest Capitalized, Suppl",-5.0,0.0,-3.0,-8.0,-19.0,,Income Statement
"Depreciat/Amort, Suppl",1222.0,1166.0,1143.0,1475.0,1962.0,,Income Statement
Total Special Items,114.0,1468.0,-609.0,-761.0,1003.0,,Income Statement
Normalzd Income Before Tax,212.0,-870.0,272.0,2128.0,144.0,,Income Statement
Efct/SpecItemsIncTxs (STEC),37.0,514.0,-223.0,-161.0,351.0,,Income Statement
IncTxsExcl ImpctofSpec Itms,68.0,-362.0,100.0,449.0,197.0,,Income Statement
Normalized Income After Tax,143.0,-508.0,172.0,1679.0,-53.0,,Income Statement
Normalzd Inc Avail to Common,143.0,-508.0,165.0,1662.0,-54.0,,Income Statement
Basic Normalized EPS,1.19,-3.77,1.12,9.72,-0.27,,Income Statement
Diluted Normalized EPS,1.19,-3.77,1.12,9.7,-0.27,,Income Statement
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Cash Flow
Net Income,66.0,-1462.0,956.0,2286.0,-705.0,,Cash Flow
Depreciation/Depletion,1223.0,1167.0,1146.0,1478.0,1964.0,,Cash Flow
