,CXO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-38.45,Valuation,
Price/Sales (TTM),2.55,3.31,Valuation,0.7703927492447129
Price/Book (MRQ),1.34,2.33,Valuation,0.575107296137339
"PEG Ratio (TTM, GAAP)",,0.36,Valuation,
Gross Profit Margin (TTM),0.8399,0.3985,Profitability,2.1076537013801757
Operating Profit Margin (TTM),-2.4372000000000003,0.0007000000000000001,Profitability,-3481.714285714286
Net Profit Margin (TTM),-2.1059,-0.0022,Profitability,957.2272727272727
Annual Dividend Yield,0.013999999999999999,0.0677,Dividend,0.206794682422452
Dividend Change %,,0.1452,Dividend,
"Dividend Growth Rate, 3 Years",,0.0892,Dividend,
EPS Growth (MRQ),-18.9359,-2.6853,Gowth rates,7.051688824339926
EPS Growth (TTM),-13.3277,-1.0769,Gowth rates,12.375986628284892
Revenue Growth (MRQ),-0.26,0.049,Gowth rates,-5.3061224489795915
Revenue Growth (TTM),0.023700000000000002,-0.0148,Gowth rates,-1.6013513513513515
Return On Equity (TTM),-0.7026000000000001,0.0538,Effectiveness,-13.059479553903348
Return On Assets (TTM),-0.4669,0.0173,Effectiveness,-26.98843930635838
Return On Investment (TTM),-0.501,0.0278,Effectiveness,-18.021582733812952
Revenue Per Employee (TTM),3035100.0,3759823.0,Effectiveness,0.8072454474585639
Total Debt/Total Capital (MRQ),0.3207,0.3738,Financial strength,0.8579454253611556
Change in Debt/Total Capital Quarter over Quarter,0.0062,0.0016,Financial strength,3.8749999999999996
Quick Ratio (MRQ),2.14,0.78,Financial strength,2.7435897435897436
Interest Coverage (MRQ),,3.59,Financial strength,
