,CBRE
% Above Low,0.42619999999999997
% Held by Institutions,0.9464
52-Wk Range,['29.17 - 64.75']
Annual Dividend $,
Annual Dividend %,
Ask,45.0
Ask Size,1500.0
B/A Ratio,0.06666666666666667
B/A Size,100x1500
Beta,1.7
Bid,36.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,41.6
Day Change $,0.71
Day Change %,0.0174
Day High,42.54
Day Low,41.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.87
Ex-dividend Date,No dividend
Historical Volatility,0.523
Last (size),31800.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,14.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.57
Prev Close,40.89
Short Interest,0.0222
Today's Open,41.65
Volume,1370049.0
Volume 10-day Avg,1927591.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.5067385444743935
Growth 1yr High Est,0.1114058355437666
Growth 1yr Consensus Est,-0.19766635446531344
Growth 2yr Low Est,-0.03205779682736065
Growth 2yr High Est,0.09866234497952042
Growth 2yr Consensus Est,0.033302274076079885
Growth 5yr Low Est,0.07903876840549756
Growth 5yr High Est,0.14350667740767825
Growth 5yr Consensus Est,0.1112727229065879
Growth 5yr Actual/Est,0.08815009120684753
Growth 3yr Historic,0.08535741607416075
Price/Earnings (TTM),10.57417
Price/Sales (TTM),0.55774
Price/Book (MRQ),2.23582
Price/Cash Flow (TTM),7.69647
5yr Low,22.74
5yr High,64.75
5yr Avg Return,0.05838333333333335
EPS Growth 5yr,0.21338249999999997
Revenue Growth 5yr,0.21430890000000002
Dividend Growth 5yr,
Short Int Current Month,7401147.0
Short Int Prev Month,4511819.0
Short Int Pct of Float,0.0222044
Days to Cover,2.7066
Float,334.4164
Shares Outstanding,336.1945
Institutions Holding Shares,877.0
FCF Growth 5yr,0.1602253254610902
"Price/Earnings (TTM, GAAP)",10.57
"PEG Ratio (TTM, GAAP)",0.96
Gross Profit Margin (TTM),0.2151
Operating Profit Margin (TTM),0.0552
Net Profit Margin (TTM),0.0535
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7208
EPS Growth (TTM),0.2159
Revenue Growth (MRQ),-0.1728
Revenue Growth (TTM),0.1305
Return On Equity (TTM),0.2345
Return On Assets (TTM),0.08689999999999999
Return On Investment (TTM),0.1454
Revenue Per Employee (TTM),246478.0
Total Debt/Total Capital (MRQ),0.33590000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0024
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,2
researchTeam,reduce
theStreet,hold
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
theStreet since,2020-04-06 00:00:00
cfra since,2012-08-01 00:00:00
ford since,2020-01-31 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
