,Industry,PXD,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",-27.69,21.44,Valuation,-0.7742867461177321
Price/Sales (TTM),3.29,1.57,Valuation,0.4772036474164134
Price/Book (MRQ),2.46,1.21,Valuation,0.491869918699187
"PEG Ratio (TTM, GAAP)",0.2,1.31,Valuation,6.55
Gross Profit Margin (TTM),0.39659999999999995,0.3983,Profitability,1.0042864346949067
Operating Profit Margin (TTM),-0.0117,0.1384,Profitability,-11.829059829059828
Net Profit Margin (TTM),-0.0143,0.0737,Profitability,-5.153846153846154
Annual Dividend Yield,0.06480000000000001,0.0244,Dividend,0.37654320987654316
Dividend Change %,0.1448,2.75,Dividend,18.99171270718232
"Dividend Growth Rate, 3 Years",0.0893,1.4662000000000002,Dividend,16.418812989921612
EPS Growth (MRQ),-3.7198,-0.1705,Gowth rates,0.04583579762352815
EPS Growth (TTM),-1.4032,-0.37479999999999997,Gowth rates,0.2671037628278221
Revenue Growth (MRQ),0.0472,-0.2389,Gowth rates,-5.061440677966102
Revenue Growth (TTM),-0.015,0.016,Gowth rates,-1.0666666666666667
Return On Equity (TTM),0.045899999999999996,0.0567,Effectiveness,1.2352941176470589
Return On Assets (TTM),0.015700000000000002,0.037200000000000004,Effectiveness,2.3694267515923566
Return On Investment (TTM),0.025099999999999997,0.0424,Effectiveness,1.6892430278884465
Revenue Per Employee (TTM),3750784.0,2996507.0,Effectiveness,0.7989015096577142
Total Debt/Total Capital (MRQ),0.3797,0.1777,Financial strength,0.4680010534632605
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001,-0.0006,Financial strength,-0.3529411764705882
Quick Ratio (MRQ),0.81,0.9,Financial strength,1.1111111111111112
Interest Coverage (MRQ),3.41,,Financial strength,
