,PXD
% Above Low,0.8509000000000001
% Held by Institutions,0.9057
52-Wk Range,['48.62 - 159.01']
Annual Dividend $,2.2
Annual Dividend %,0.0253
Ask,104.66
Ask Size,8200.0
B/A Ratio,0.024390243902439025
B/A Size,200x8200
Beta,1.8
Bid,90.01
Bid Size,200.0
Closing Price,89.99
Day Change $,2.97
Day Change %,0.0341
Day High,91.5
Day Low,87.3
Dividend Pay Date,2020-04-14 00:00:00
"EPS (TTM, GAAP)",4.2
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.7540000000000001
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,14.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.44
Prev Close,87.02
Short Interest,0.0313
Today's Open,89.02
Volume,2615892.0
Volume 10-day Avg,2400041.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-08-06 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,-1.1699716713881019
Growth 1yr High Est,-0.07204301075268815
Growth 1yr Consensus Est,-0.621007341070395
Growth 2yr Low Est,-0.5641525023607176
Growth 2yr High Est,-0.029648388342740417
Growth 2yr Consensus Est,-0.296900445351729
Growth 5yr Low Est,-0.3165579843228379
Growth 5yr High Est,0.05749710092823931
Growth 5yr Consensus Est,-0.1295304416972993
Growth 5yr Actual/Est,0.4728113551004264
Growth 3yr Historic,0.5544128220930914
Price/Earnings (TTM),21.43793
Price/Sales (TTM),1.57228
Price/Book (MRQ),1.21497
Price/Cash Flow (TTM),6.13312
5yr Low,48.62
5yr High,213.4
5yr Avg Return,-0.05086666666666665
EPS Growth 5yr,-0.08930310000000001
Revenue Growth 5yr,0.1746191
Dividend Growth 5yr,0.7187719
Short Int Current Month,5102404.0
Short Int Prev Month,5496553.0
Short Int Pct of Float,0.031270099999999995
Days to Cover,1.69581
Float,163.3248
Shares Outstanding,164.8631
Institutions Holding Shares,993.0
FCF Growth 5yr,-0.2684983658816355
"Price/Earnings (TTM, GAAP)",21.44
"PEG Ratio (TTM, GAAP)",1.31
Gross Profit Margin (TTM),0.3983
Operating Profit Margin (TTM),0.1384
Net Profit Margin (TTM),0.0737
Annual Dividend Yield,0.0244
Dividend Change %,2.75
"Dividend Growth Rate, 3 Years",1.4662000000000002
EPS Growth (MRQ),-0.1705
EPS Growth (TTM),-0.37479999999999997
Revenue Growth (MRQ),-0.2389
Revenue Growth (TTM),0.016
Return On Equity (TTM),0.0567
Return On Assets (TTM),0.037200000000000004
Return On Investment (TTM),0.0424
Revenue Per Employee (TTM),2996507.0
Total Debt/Total Capital (MRQ),0.1777
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),0.9
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
theStreet,hold
marketEdge opinion,neutralfromavoid
marketEdge,3
creditSuisse,outperform
cfra,4
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
theStreet since,2019-07-24 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
creditSuisse since,2013-02-12 00:00:00
cfra since,2017-05-04 00:00:00
ford since,2020-02-21 00:00:00
