,CE
% Above Low,0.5696
% Held by Institutions,0.9721
52-Wk Range,['52.70 - 128.88']
Annual Dividend $,2.48
Annual Dividend %,0.030899999999999997
Ask,104.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,60.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,82.72
Day Change $,2.37
Day Change %,0.029500000000000002
Day High,83.38
Day Low,81.64
Dividend Pay Date,2020-05-07 00:00:00
"EPS (TTM, GAAP)",6.08
Ex-dividend,2020-04-24 00:00:00
Ex-dividend Date,04/24/20
Historical Volatility,0.494
Last (size),2100.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,9.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.22
Prev Close,80.35
Short Interest,0.021099999999999997
Today's Open,82.0
Volume,591614.0
Volume 10-day Avg,990163.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-27 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.389247311827957
Growth 1yr High Est,0.04591836734693877
Growth 1yr Consensus Est,-0.17166447224050913
Growth 2yr Low Est,0.001679160987429984
Growth 2yr High Est,0.09222747635639617
Growth 2yr Consensus Est,0.046953318671913075
Growth 5yr Low Est,0.0912760824236325
Growth 5yr High Est,0.1348374207891841
Growth 5yr Consensus Est,0.1130567516064083
Growth 5yr Actual/Est,0.08887824585024054
Growth 3yr Historic,0.08276933785256022
Price/Earnings (TTM),13.22388
Price/Sales (TTM),1.56502
Price/Book (MRQ),3.88059
Price/Cash Flow (TTM),8.55828
5yr Low,52.7
5yr High,128.88
5yr Avg Return,0.07223333333333336
EPS Growth 5yr,0.1124224
Revenue Growth 5yr,-0.015310299999999999
Dividend Growth 5yr,0.2087755
Short Int Current Month,2503313.0
Short Int Prev Month,2042018.0
Short Int Pct of Float,0.021090900000000003
Days to Cover,2.42989
Float,117.2827
Shares Outstanding,118.2289
Institutions Holding Shares,800.0
FCF Growth 5yr,0.37720675538323856
"Price/Earnings (TTM, GAAP)",13.22
"PEG Ratio (TTM, GAAP)",2.87
Gross Profit Margin (TTM),0.24730000000000002
Operating Profit Margin (TTM),0.11660000000000001
Net Profit Margin (TTM),0.12390000000000001
Annual Dividend Yield,0.0309
Dividend Change %,0.15380000000000002
"Dividend Growth Rate, 3 Years",0.20260000000000003
EPS Growth (MRQ),4.4357
EPS Growth (TTM),-0.3124
Revenue Growth (MRQ),0.0196
Revenue Growth (TTM),-0.1317
Return On Equity (TTM),0.2712
Return On Assets (TTM),0.0787
Return On Investment (TTM),0.10310000000000001
Revenue Per Employee (TTM),786881.0
Total Debt/Total Capital (MRQ),0.5914
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),0.94
Interest Coverage (MRQ),
newConstructs,2
researchTeam,hold
theStreet,hold
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2020-02-03 00:00:00
cfra since,2019-10-23 00:00:00
ford since,2019-06-14 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
