,NWS
% Above Low,0.4286
% Held by Institutions,
52-Wk Range,['7.88 - 15.36']
Annual Dividend $,0.2
Annual Dividend %,0.020099999999999996
Ask,15.0
Ask Size,1200.0
B/A Ratio,3.75
B/A Size,4500x1200
Beta,
Bid,11.24
Bid Size,4500.0
Closing Price,11.25
Day Change $,1.32
Day Change %,0.1329
Day High,11.39
Day Low,10.26
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",
Ex-dividend,2020-03-10 00:00:00
Ex-dividend Date,03/10/20
Historical Volatility,0.46299999999999997
Last (size),20.0
Last (time),3:59p ET 05/08/20
Market Cap,6.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",--x
Prev Close,9.93
Short Interest,
Today's Open,10.26
Volume,642843.0
Volume 10-day Avg,619351.0
Volume Past Day,(Average)
5yr Low,7.88
5yr High,17.7
5yr Avg Return,-0.014916666666666672
EPS Growth 5yr,
Revenue Growth 5yr,0.0349033
Dividend Growth 5yr,
FCF Growth 5yr,0.06673641510515797
"Price/Earnings (TTM, GAAP)",
Price/Sales (TTM),
Price/Book (MRQ),
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),
EPS Growth (TTM),
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,sell
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,1
newConstructs,
creditSuisse,
cfra,
ford,
theStreet since,2019-03-20 00:00:00
researchTeam since,2019-03-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
newConstructs since,
creditSuisse since,
cfra since,
ford since,
