,FLIR
% Below High,0.1909
% Held by Institutions,0.9477
52-Wk Range,['23.85 - 59.44']
Annual Dividend $,0.68
Annual Dividend %,0.014199999999999999
Ask,49.02
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,1.6
Bid,48.88
Bid Size,700.0
Closing Price,48.09
Day Change $,0.19
Day Change %,0.004
Day High,49.29
Day Low,47.96
Dividend Pay Date,2020-06-05 00:00:00
"EPS (TTM, GAAP)",0.92
Ex-dividend,2020-05-21 00:00:00
Ex-dividend Date,05/21/20
Historical Volatility,0.524
Last (size),100.0
Last (time),3:59p ET 05/08/20
Market Cap,6.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",52.11
Prev Close,47.9
Short Interest,0.0138
Today's Open,49.12
Volume,2833199.0
Volume 10-day Avg,3068862.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-08-06 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.16593886462882101
Growth 1yr High Est,-0.04310344827586188
Growth 1yr Consensus Est,-0.10452115645234145
Growth 2yr Low Est,-0.05155581974896556
Growth 2yr High Est,0.07529512270891581
Growth 2yr Consensus Est,0.011869651479975124
Growth 5yr Low Est,0.03628731847514924
Growth 5yr High Est,0.0957002664659865
Growth 5yr Consensus Est,0.06599379247056787
Growth 5yr Actual/Est,0.05738717959900805
Growth 3yr Historic,0.04633889208357295
Price/Earnings (TTM),52.11223
Price/Sales (TTM),3.31043
Price/Book (MRQ),3.66352
Price/Cash Flow (TTM),26.56016
5yr Low,23.85
5yr High,63.88
5yr Avg Return,0.08581666666666665
EPS Growth 5yr,-0.020778599999999998
Revenue Growth 5yr,0.0427499
Dividend Growth 5yr,0.11196160000000001
Short Int Current Month,1847894.0
Short Int Prev Month,1634242.0
Short Int Pct of Float,0.0138308
Days to Cover,1.35287
Float,129.0673
Shares Outstanding,130.8424
Institutions Holding Shares,659.0
FCF Growth 5yr,0.08716749812636408
"Price/Earnings (TTM, GAAP)",52.11
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.48340000000000005
Operating Profit Margin (TTM),0.11660000000000001
Net Profit Margin (TTM),0.06620000000000001
Annual Dividend Yield,0.014199999999999999
Dividend Change %,0.0625
"Dividend Growth Rate, 3 Years",0.1231
EPS Growth (MRQ),8.2334
EPS Growth (TTM),-0.5804
Revenue Growth (MRQ),-0.078
Revenue Growth (TTM),0.0631
Return On Equity (TTM),0.0695
Return On Assets (TTM),0.0396
Return On Investment (TTM),0.0475
Revenue Per Employee (TTM),443895.0
Total Debt/Total Capital (MRQ),0.3299
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),1.24
Interest Coverage (MRQ),2.53
newConstructs,4
researchTeam,hold
theStreet,hold
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
theStreet since,2020-03-09 00:00:00
cfra since,2020-02-28 00:00:00
ford since,2019-06-28 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
