,SNA
% Above Low,0.4035
% Held by Institutions,0.9695999999999999
52-Wk Range,['90.72 - 172.61']
Annual Dividend $,4.32
Annual Dividend %,0.0353
Ask,208.08
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.4
Bid,122.8
Bid Size,100.0
Closing Price,127.33
Day Change $,5.12
Day Change %,0.04190000000000001
Day High,127.81
Day Low,124.5
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",11.74
Ex-dividend,2020-05-20 00:00:00
Ex-dividend Date,05/20/20
Historical Volatility,0.43
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,6.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.84
Prev Close,122.21
Short Interest,0.1241
Today's Open,124.5
Volume,322040.0
Volume 10-day Avg,657805.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.294987674609696
Growth 1yr High Est,-0.17288961038961048
Growth 1yr Consensus Est,-0.23393864249965324
Growth 2yr Low Est,-0.06940525921626994
Growth 2yr High Est,0.044075312567707026
Growth 2yr Consensus Est,-0.012664973324281459
Growth 5yr Low Est,0.018807431692561605
Growth 5yr High Est,0.07367614632553948
Growth 5yr Consensus Est,0.04624178900905054
Growth 5yr Actual/Est,0.03124772222269645
Growth 3yr Historic,0.051274837429257036
Price/Earnings (TTM),10.84183
Price/Sales (TTM),1.73088
Price/Book (MRQ),2.07697
Price/Cash Flow (TTM),9.05525
5yr Low,90.72
5yr High,189.46
5yr Avg Return,-0.01721666666666667
EPS Growth 5yr,0.11686959999999999
Revenue Growth 5yr,0.0309557
Dividend Growth 5yr,0.1626371
Short Int Current Month,6693331.0
Short Int Prev Month,5835607.0
Short Int Pct of Float,0.124149
Days to Cover,9.33022
Float,53.61561
Shares Outstanding,54.35424
Institutions Holding Shares,805.0
FCF Growth 5yr,0.04583439618627838
"Price/Earnings (TTM, GAAP)",10.84
"PEG Ratio (TTM, GAAP)",1.08
Gross Profit Margin (TTM),0.5345000000000001
Operating Profit Margin (TTM),0.22719999999999999
Net Profit Margin (TTM),0.1677
Annual Dividend Yield,0.0339
Dividend Change %,0.1525
"Dividend Growth Rate, 3 Years",0.15660000000000002
EPS Growth (MRQ),-0.187
EPS Growth (TTM),-0.0398
Revenue Growth (MRQ),-0.09720000000000001
Revenue Growth (TTM),-0.015
Return On Equity (TTM),0.2
Return On Assets (TTM),0.1213
Return On Investment (TTM),0.14650000000000002
Revenue Per Employee (TTM),312383.0
Total Debt/Total Capital (MRQ),0.2504
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),1.68
Interest Coverage (MRQ),15.06
newConstructs,2
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,hold
cfra,3
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-19 00:00:00
cfra since,2019-04-18 00:00:00
ford since,2020-01-31 00:00:00
creditSuisse since,
