,SNA
Price/Earnings (TTM),10.84183
Price/Sales (TTM),1.73088
Price/Book (MRQ),2.07697
Price/Cash Flow (TTM),9.05525
5yr Low,90.72
5yr High,189.46
5yr Avg Return,-0.01721666666666667
EPS Growth 5yr,0.11686959999999999
Revenue Growth 5yr,0.0309557
Dividend Growth 5yr,0.1626371
Short Int Current Month,6693331.0
Short Int Prev Month,5835607.0
Short Int Pct of Float,0.124149
Days to Cover,9.33022
Float,53.61561
Shares Outstanding,54.35424
Institutions Holding Shares,805.0
% Held by Institutions,0.969607
FCF Growth 5yr,0.04583439618627838
