,GOOG
% Below High,0.09380000000000001
% Held by Institutions,
52-Wk Range,"['1,013.54 - 1,532.11']"
Annual Dividend $,
Annual Dividend %,
Ask,1390.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,1388.47
Bid Size,100.0
Closing Price,1388.37
Day Change $,15.81
Day Change %,0.0115
Day High,1398.76
Day Low,1375.48
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.365
Last (size),2.0
Last (time),4:15p ET 05/08/20
Market Cap,947.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",--x
Prev Close,1372.56
Short Interest,
Today's Open,1383.13
Volume,1388068.0
Volume 10-day Avg,1989488.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-27 00:00:00
Growth Analysts,37.0
Growth 1yr Low Est,-0.10622034791776491
Growth 1yr High Est,0.1205560619872379
Growth 1yr Consensus Est,0.007167857034736491
Growth 2yr Low Est,0.06499657921127394
Growth 2yr High Est,0.23711349977539642
Growth 2yr Consensus Est,0.15105503949333518
Growth 5yr Low Est,0.09951032169119842
Growth 5yr High Est,0.18560877300908551
Growth 5yr Consensus Est,0.14255954735014198
Growth 5yr Actual/Est,0.16174299740661638
Growth 3yr Historic,0.11999538786298403
5yr Low,515.18
5yr High,1532.11
5yr Avg Return,0.18833333333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.1965096
Dividend Growth 5yr,
FCF Growth 5yr,0.15818432914939715
"Price/Earnings (TTM, GAAP)",
Price/Sales (TTM),
Price/Book (MRQ),
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),
EPS Growth (TTM),
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,hold
theStreet,buy
marketEdge opinion,neutralfromavoid
marketEdge,3
newConstructs,
creditSuisse,
cfra,
ford,
researchTeam since,2020-04-20 00:00:00
theStreet since,2018-04-24 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
newConstructs since,
creditSuisse since,
cfra since,
ford since,
