,JNPR
% Below High,0.1411
% Held by Institutions,0.9265000000000001
52-Wk Range,['15.20 - 27.57']
Annual Dividend $,0.8
Annual Dividend %,0.0346
Ask,23.74
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.9
Bid,23.68
Bid Size,300.0
Closing Price,23.68
Day Change $,0.56
Day Change %,0.0242
Day High,23.71
Day Low,23.22
Dividend Pay Date,2020-06-22 00:00:00
"EPS (TTM, GAAP)",0.97
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.34299999999999997
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,7.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",23.78
Prev Close,23.12
Short Interest,0.0354
Today's Open,23.28
Volume,4010406.0
Volume 10-day Avg,5245864.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.1597633136094675
Growth 1yr High Est,-0.017341040462427793
Growth 1yr Consensus Est,-0.08855217703594764
Growth 2yr Low Est,-0.027064755396283002
Growth 2yr High Est,0.14721183270996258
Growth 2yr Consensus Est,0.06007353865683979
Growth 5yr Low Est,-0.0598833265066146
Growth 5yr High Est,0.021144902709757107
Growth 5yr Consensus Est,-0.019369211898428745
Growth 5yr Actual/Est,-0.034106155692062934
Growth 3yr Historic,-0.04852778057880408
Price/Earnings (TTM),23.77842
Price/Sales (TTM),1.72476
Price/Book (MRQ),1.74294
Price/Cash Flow (TTM),13.72177
5yr Low,15.2
5yr High,32.39
5yr Avg Return,-0.020033333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.0079801
Dividend Growth 5yr,0.3060407
Short Int Current Month,11570064.0
Short Int Prev Month,11608418.0
Short Int Pct of Float,0.0353587
Days to Cover,3.38014
Float,327.3257
Shares Outstanding,331.3524
Institutions Holding Shares,629.0
FCF Growth 5yr,-0.04642190456798836
"Price/Earnings (TTM, GAAP)",23.78
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5885
Operating Profit Margin (TTM),0.0954
Net Profit Margin (TTM),0.0753
Annual Dividend Yield,0.0346
Dividend Change %,0.0556
"Dividend Growth Rate, 3 Years",0.2386
EPS Growth (MRQ),-0.8762000000000001
EPS Growth (TTM),-0.3969
Revenue Growth (MRQ),-0.1739
Revenue Growth (TTM),-0.027400000000000004
Return On Equity (TTM),0.0723
Return On Assets (TTM),0.037700000000000004
Return On Investment (TTM),0.0454
Revenue Per Employee (TTM),471568.0
Total Debt/Total Capital (MRQ),0.2806
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),1.87
Interest Coverage (MRQ),4.43
newConstructs,3
researchTeam,reduce
cfra,2
theStreet,hold
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,underperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-01-30 00:00:00
cfra since,2019-01-30 00:00:00
theStreet since,2019-04-26 00:00:00
ford since,2019-07-12 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-05-09 00:00:00
