,Industry,JNPR,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.35,23.78,Valuation,1.1138173302107728
Price/Sales (TTM),3.65,1.72,Valuation,0.4712328767123288
Price/Book (MRQ),4.09,1.74,Valuation,0.4254278728606357
"PEG Ratio (TTM, GAAP)",125.77,,Valuation,
Gross Profit Margin (TTM),0.5957,0.5885,Profitability,0.987913379217727
Operating Profit Margin (TTM),0.2093,0.0954,Profitability,0.4558050645007166
Net Profit Margin (TTM),0.17010000000000003,0.0753,Profitability,0.4426807760141093
Annual Dividend Yield,0.0248,0.0346,Dividend,1.3951612903225807
Dividend Change %,0.126,0.0556,Dividend,0.44126984126984126
"Dividend Growth Rate, 3 Years",0.10740000000000001,0.2386,Dividend,2.2216014897579144
EPS Growth (MRQ),-0.5058,-0.8762000000000001,Gowth rates,1.7323052589956505
EPS Growth (TTM),0.0017000000000000001,-0.3969,Gowth rates,-233.4705882352941
Revenue Growth (MRQ),-0.005,-0.1739,Gowth rates,34.78
Revenue Growth (TTM),0.044000000000000004,-0.027400000000000004,Gowth rates,-0.6227272727272728
Return On Equity (TTM),0.2175,0.0723,Effectiveness,0.3324137931034483
Return On Assets (TTM),0.1192,0.037700000000000004,Effectiveness,0.31627516778523496
Return On Investment (TTM),0.1602,0.0454,Effectiveness,0.2833957553058677
Revenue Per Employee (TTM),662431.0,471568.0,Effectiveness,0.7118748971591004
Total Debt/Total Capital (MRQ),0.41700000000000004,0.2806,Financial strength,0.6729016786570743
Change in Debt/Total Capital Quarter over Quarter,-0.001,0.0002,Financial strength,-0.2
Quick Ratio (MRQ),2.04,1.87,Financial strength,0.9166666666666667
Interest Coverage (MRQ),1.9,4.43,Financial strength,2.331578947368421
