,CNP
% Above Low,0.6054
% Held by Institutions,0.8663
52-Wk Range,['11.58 - 30.84']
Annual Dividend $,0.6
Annual Dividend %,0.0337
Ask,19.95
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,18.55
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,18.59
Day Change $,0.78
Day Change %,0.0438
Day High,18.68
Day Low,18.09
Dividend Pay Date,2020-06-11 00:00:00
"EPS (TTM, GAAP)",-1.1
Ex-dividend,2020-05-20 00:00:00
Ex-dividend Date,05/20/20
Historical Volatility,0.561
Last (size),200.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,9.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,17.81
Short Interest,0.04650000000000001
Today's Open,18.09
Volume,17847661.0
Volume 10-day Avg,8340956.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.2142857142857143
Growth 1yr High Est,0.19631901840490795
Growth 1yr Consensus Est,-0.008983347940403175
Growth 2yr Low Est,-0.1484651711924439
Growth 2yr High Est,0.07508258612553093
Growth 2yr Consensus Est,-0.03669129253345649
Growth 5yr Low Est,-0.028078739442375794
Growth 5yr High Est,0.08070676068866475
Growth 5yr Consensus Est,0.02631401062314448
Growth 5yr Actual/Est,0.013617600605262625
Growth 3yr Historic,0.07165830291970798
Price/Earnings (TTM),
Price/Sales (TTM),0.81847
Price/Book (MRQ),1.71169
Price/Cash Flow (TTM),12.64346
5yr Low,11.58
5yr High,31.42
5yr Avg Return,0.006599999999999996
EPS Growth 5yr,-0.011593899999999999
Revenue Growth 5yr,0.059218099999999996
Dividend Growth 5yr,0.0389505
Short Int Current Month,23306908.0
Short Int Prev Month,21363639.0
Short Int Pct of Float,0.0464652
Days to Cover,2.42541
Float,501.5359
Shares Outstanding,502.6147
Institutions Holding Shares,815.0
FCF Growth 5yr,-11.583308211939649
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1095
Net Profit Margin (TTM),-0.0394
Annual Dividend Yield,0.0337
Dividend Change %,0.036000000000000004
"Dividend Growth Rate, 3 Years",0.0374
EPS Growth (MRQ),-9.5142
EPS Growth (TTM),-2.8857
Revenue Growth (MRQ),-0.32909999999999995
Revenue Growth (TTM),0.1318
Return On Equity (TTM),-0.0936
Return On Assets (TTM),-0.0128
Return On Investment (TTM),-0.0143
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.6968000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0025
Quick Ratio (MRQ),0.94
Interest Coverage (MRQ),0.25
newConstructs,3
researchTeam,reduce
creditSuisse,outperform
cfra,3
theStreet,hold
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-17 00:00:00
creditSuisse since,2020-02-28 00:00:00
cfra since,2020-04-03 00:00:00
theStreet since,2020-03-10 00:00:00
ford since,2020-03-27 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
