,ALB
% Above Low,0.31420000000000003
% Held by Institutions,0.8943000000000001
52-Wk Range,['48.89 - 99.40']
Annual Dividend $,1.54
Annual Dividend %,0.0258
Ask,65.0
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.4
Bid,64.02
Bid Size,400.0
Change Since Close,0.00| |(0.00%)
Closing Price,64.25
Day Change $,4.51
Day Change %,0.0755
Day High,64.5
Day Low,60.2
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",4.77
Ex-dividend,2020-06-11 00:00:00
Ex-dividend Date,06/11/20
Historical Volatility,0.552
Last (size),2.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,6.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",12.53
Prev Close,59.74
Short Interest,0.1398
Today's Open,60.63
Volume,1514473.0
Volume 10-day Avg,1473101.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.4966666666666667
Growth 1yr High Est,-0.19773095623987025
Growth 1yr Consensus Est,-0.3471988114532685
Growth 2yr Low Est,-0.1440286975717439
Growth 2yr High Est,0.0678011885467315
Growth 2yr Consensus Est,-0.038113754512506204
Growth 5yr Low Est,0.012336755717101716
Growth 5yr High Est,0.11655294192571344
Growth 5yr Consensus Est,0.06444484882140758
Growth 5yr Actual/Est,0.03767416740666579
Growth 3yr Historic,0.0740223907892435
Price/Earnings (TTM),12.52563
Price/Sales (TTM),1.81668
Price/Book (MRQ),1.63353
Price/Cash Flow (TTM),9.43237
5yr Low,41.37
5yr High,144.99
5yr Avg Return,0.05928333333333335
EPS Growth 5yr,0.1435699
Revenue Growth 5yr,0.0797663
Dividend Growth 5yr,0.1174569
Short Int Current Month,14710591.0
Short Int Prev Month,13664366.0
Short Int Pct of Float,0.1398033
Days to Cover,9.29782
Float,105.994
Shares Outstanding,106.3186
Institutions Holding Shares,793.0
FCF Growth 5yr,2.378058783321941
"Price/Earnings (TTM, GAAP)",12.53
"PEG Ratio (TTM, GAAP)",0.84
Gross Profit Margin (TTM),0.348
Operating Profit Margin (TTM),0.16829999999999998
Net Profit Margin (TTM),0.1303
Annual Dividend Yield,0.0258
Dividend Change %,0.0849
"Dividend Growth Rate, 3 Years",0.060599999999999994
EPS Growth (MRQ),0.18789999999999998
EPS Growth (TTM),-0.23420000000000002
Revenue Growth (MRQ),-0.2556
Revenue Growth (TTM),0.0327
Return On Equity (TTM),0.1343
Return On Assets (TTM),0.0514
Return On Investment (TTM),0.061200000000000004
Revenue Per Employee (TTM),582701.0
Total Debt/Total Capital (MRQ),0.43729999999999997
Change in Debt/Total Capital Quarter over Quarter,0.0038
Quick Ratio (MRQ),1.09
Interest Coverage (MRQ),7.17
newConstructs,3
researchTeam,reduce
theStreet,hold
cfra,3
ford,3
marketEdge opinion,avoid
marketEdge,0
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-16 00:00:00
theStreet since,2020-03-23 00:00:00
cfra since,2020-04-04 00:00:00
ford since,2019-09-27 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
