,ALB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",12.53,38.27,Valuation,0.32741050431147106
Price/Sales (TTM),1.82,3.08,Valuation,0.5909090909090909
Price/Book (MRQ),1.63,4.22,Valuation,0.3862559241706161
"PEG Ratio (TTM, GAAP)",0.84,0.32,Valuation,2.625
Gross Profit Margin (TTM),0.348,0.3542,Profitability,0.9824957651044607
Operating Profit Margin (TTM),0.16829999999999998,0.09910000000000001,Profitability,1.6982845610494446
Net Profit Margin (TTM),0.1303,0.0683,Profitability,1.9077598828696924
Annual Dividend Yield,0.0258,0.0256,Dividend,1.0078125
Dividend Change %,0.0849,0.09,Dividend,0.9433333333333334
"Dividend Growth Rate, 3 Years",0.060599999999999994,0.054900000000000004,Dividend,1.1038251366120218
EPS Growth (MRQ),0.18789999999999998,-0.07110000000000001,Gowth rates,-2.6427566807313636
EPS Growth (TTM),-0.23420000000000002,-1.1804000000000001,Gowth rates,0.198407319552694
Revenue Growth (MRQ),-0.2556,0.0044,Gowth rates,-58.090909090909086
Revenue Growth (TTM),0.0327,0.09369999999999999,Gowth rates,0.3489861259338314
Return On Equity (TTM),0.1343,0.14550000000000002,Effectiveness,0.9230240549828178
Return On Assets (TTM),0.0514,0.0393,Effectiveness,1.3078880407124682
Return On Investment (TTM),0.061200000000000004,0.057800000000000004,Effectiveness,1.0588235294117647
Revenue Per Employee (TTM),582701.0,547214.0,Effectiveness,1.0648503145021875
Total Debt/Total Capital (MRQ),0.43729999999999997,0.4595,Financial strength,0.9516866158868335
Change in Debt/Total Capital Quarter over Quarter,0.0038,0.0003,Financial strength,12.666666666666668
Quick Ratio (MRQ),1.09,1.14,Financial strength,0.9561403508771932
Interest Coverage (MRQ),7.17,11.97,Financial strength,0.5989974937343358
