,ALB
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.4966666666666667
Growth 1yr High Est,-0.19773095623987025
Growth 1yr Consensus Est,-0.3471988114532685
Growth 2yr Low Est,-0.1440286975717439
Growth 2yr High Est,0.0678011885467315
Growth 2yr Consensus Est,-0.038113754512506204
Growth 5yr Low Est,0.012336755717101716
Growth 5yr High Est,0.11655294192571344
Growth 5yr Consensus Est,0.06444484882140758
Growth 5yr Actual/Est,0.03767416740666579
Growth 3yr Historic,0.0740223907892435
