,MYL
% Above Low,0.378
% Held by Institutions,0.8534
52-Wk Range,['12.75 - 23.19']
Annual Dividend $,
Annual Dividend %,
Ask,18.2
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,18.01
Bid Size,100.0
Closing Price,17.57
Day Change $,0.25
Day Change %,0.0144
Day High,17.78
Day Low,17.3
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.03
Ex-dividend Date,No dividend
Historical Volatility,0.48
Last (size),50.0
Last (time),3:59p ET 05/08/20
Market Cap,9.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",545.68
Prev Close,17.32
Short Interest,0.0433
Today's Open,17.68
Volume,7248115.0
Volume 10-day Avg,6101205.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.04379562043795626
Growth 1yr High Est,0.06590909090909092
Growth 1yr Consensus Est,0.011056735235567328
Growth 2yr Low Est,-0.06642707230549216
Growth 2yr High Est,0.04574772242682679
Growth 2yr Consensus Est,-0.010339674939332688
Growth 5yr Low Est,-0.04971755091460056
Growth 5yr High Est,0.009933440573662272
Growth 5yr Consensus Est,-0.019892055170469145
Growth 5yr Actual/Est,0.0015159484491629738
Growth 3yr Historic,-0.007637133226078285
Price/Earnings (TTM),545.6837
Price/Sales (TTM),0.77853
Price/Book (MRQ),0.75226
Price/Cash Flow (TTM),4.39737
5yr Low,12.75
5yr High,74.66
5yr Avg Return,-0.19208333333333333
EPS Growth 5yr,-0.5799307
Revenue Growth 5yr,0.0829898
Dividend Growth 5yr,
Short Int Current Month,22035145.0
Short Int Prev Month,21094633.0
Short Int Pct of Float,0.0432878
Days to Cover,3.37831
Float,509.8362
Shares Outstanding,516.9445
Institutions Holding Shares,711.0
FCF Growth 5yr,0.04841364272187487
"Price/Earnings (TTM, GAAP)",553.56
"PEG Ratio (TTM, GAAP)",221.42
Gross Profit Margin (TTM),0.3958
Operating Profit Margin (TTM),0.0613
Net Profit Margin (TTM),0.0015
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.8926999999999999
EPS Growth (TTM),-0.9515000000000001
Revenue Growth (MRQ),0.07769999999999999
Revenue Growth (TTM),0.0058
Return On Equity (TTM),0.0014000000000000002
Return On Assets (TTM),0.0005
Return On Investment (TTM),0.0006
Revenue Per Employee (TTM),328586.0
Total Debt/Total Capital (MRQ),0.5161
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),0.73
Interest Coverage (MRQ),4.11
newConstructs,4
researchTeam,reduce
marketEdge opinion,long
marketEdge,-1
theStreet,sell
cfra,3
ford,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-08-05 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2019-08-05 00:00:00
cfra since,2019-11-28 00:00:00
ford since,2020-04-24 00:00:00
creditSuisse since,
