,Industry,MYL,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",34.87,553.56,Valuation,15.874964152566676
Price/Sales (TTM),9.71,0.79,Valuation,0.08135942327497425
Price/Book (MRQ),9.98,0.76,Valuation,0.07615230460921843
"PEG Ratio (TTM, GAAP)",43.48,221.42,Valuation,5.09245630174793
Gross Profit Margin (TTM),0.6765000000000001,0.3958,Profitability,0.5850702143385069
Operating Profit Margin (TTM),-0.5029,0.0613,Profitability,-0.12189302048120898
Net Profit Margin (TTM),-0.5135000000000001,0.0015,Profitability,-0.0029211295034079843
Annual Dividend Yield,0.0255,,Dividend,
Dividend Change %,0.0804,,Dividend,
"Dividend Growth Rate, 3 Years",0.058499999999999996,,Dividend,
EPS Growth (MRQ),0.047,-0.8926999999999999,Gowth rates,-18.993617021276595
EPS Growth (TTM),0.008,-0.9515000000000001,Gowth rates,-118.93750000000001
Revenue Growth (MRQ),0.449,0.07769999999999999,Gowth rates,0.17305122494432068
Revenue Growth (TTM),0.11900000000000001,0.0058,Gowth rates,0.04873949579831932
Return On Equity (TTM),0.34759999999999996,0.0014000000000000002,Effectiveness,0.004027617951668586
Return On Assets (TTM),0.053700000000000005,0.0005,Effectiveness,0.009310986964618248
Return On Investment (TTM),0.0724,0.0006,Effectiveness,0.008287292817679556
Revenue Per Employee (TTM),716037.0,328586.0,Effectiveness,0.4588952805511447
Total Debt/Total Capital (MRQ),0.3911,0.5161,Financial strength,1.3196113525952442
Change in Debt/Total Capital Quarter over Quarter,0.001,-0.0004,Financial strength,-0.4
Quick Ratio (MRQ),1.0,0.73,Financial strength,0.73
Interest Coverage (MRQ),11.9,4.11,Financial strength,0.3453781512605042
