,KLAC
Price/Earnings (TTM),25.54432
Price/Sales (TTM),4.53203
Price/Book (MRQ),11.0093
Price/Cash Flow (TTM),17.89165
5yr Low,44.95
5yr High,184.5
5yr Avg Return,0.24659999999999996
EPS Growth 5yr,0.16275759999999997
Revenue Growth 5yr,0.09296549999999999
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,3138277.0
Short Int Prev Month,2887299.0
Short Int Pct of Float,0.0200761
Days to Cover,2.57453
Float,153.4985
Shares Outstanding,155.0489
Institutions Holding Shares,1051.0
% Held by Institutions,0.9371970000000001
FCF Growth 5yr,0.14531162048835047
