,FOXA
% Above Low,0.3125
% Held by Institutions,1.035
52-Wk Range,['19.81 - 39.74']
Annual Dividend $,0.46
Annual Dividend %,0.0182
Ask,26.42
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,24.01
Bid Size,100.0
Closing Price,26.0
Day Change $,0.75
Day Change %,0.0297
Day High,26.3
Day Low,25.63
Dividend Pay Date,2020-04-01 00:00:00
"EPS (TTM, GAAP)",2.14
Ex-dividend,2020-03-03 00:00:00
Ex-dividend Date,03/03/20
Historical Volatility,0.42
Last (size),228.0
Last (time),3:59p ET 05/08/20
Market Cap,15.8B
"P/E Ratio (TTM, GAAP)",11.79
Prev Close,25.25
Short Interest,0.051100000000000007
Today's Open,25.97
Volume,6613743.0
Volume 10-day Avg,5245766.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.25
Growth 2yr High Est,0.18113207547169807
Growth 2yr Consensus Est,-0.034433962264150964
Growth 5yr Low Est,-0.25
Growth 5yr High Est,0.18113207547169807
Growth 5yr Consensus Est,-0.034433962264150964
Growth 5yr Actual/Est,-0.06599789661030658
Growth 3yr Historic,0.0
Price/Earnings (TTM),11.78761
Price/Sales (TTM),1.23082
Price/Book (MRQ),1.50721
Price/Cash Flow (TTM),9.50165
5yr Low,19.81
5yr High,41.95
5yr Avg Return,-0.16475
Short Int Current Month,17298319.0
Short Int Prev Month,16304439.0
Short Int Pct of Float,0.051077399999999995
Days to Cover,4.43948
Float,500.0032
Shares Outstanding,606.8331
Institutions Holding Shares,710.0
FCF Growth 5yr,-0.17733013762722186
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",11.79
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3565
Operating Profit Margin (TTM),0.1884
Net Profit Margin (TTM),0.1115
Annual Dividend Yield,0.0182
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7366
EPS Growth (TTM),0.3236
Revenue Growth (MRQ),-0.0895
Revenue Growth (TTM),0.1001
Return On Equity (TTM),0.14220000000000002
Return On Assets (TTM),0.0729
Return On Investment (TTM),0.0804
Revenue Per Employee (TTM),1610130.0
Total Debt/Total Capital (MRQ),0.39390000000000003
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),3.24
Interest Coverage (MRQ),1.32
newConstructs,3
researchTeam,reduce
theStreet,sell
creditSuisse,outperform
cfra,
ford,2
marketEdge,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-07 00:00:00
theStreet since,2020-05-07 00:00:00
creditSuisse since,2019-03-21 00:00:00
cfra since,
ford since,2020-02-07 00:00:00
marketEdge since,
