,FOXA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.79,15.32,Valuation,0.7695822454308093
Price/Sales (TTM),1.23,73.47,Valuation,0.016741527153940384
Price/Book (MRQ),1.51,2.55,Valuation,0.592156862745098
"PEG Ratio (TTM, GAAP)",,0.65,Valuation,
Gross Profit Margin (TTM),0.3565,0.5417000000000001,Profitability,0.6581133468709617
Operating Profit Margin (TTM),0.1884,-0.2403,Profitability,-0.784019975031211
Net Profit Margin (TTM),0.1115,0.4648,Profitability,0.2398881239242685
Annual Dividend Yield,0.0182,0.0146,Dividend,1.2465753424657535
Dividend Change %,,0.0521,Dividend,
"Dividend Growth Rate, 3 Years",,0.09640000000000001,Dividend,
EPS Growth (MRQ),-0.7366,-0.7004,Gowth rates,1.0516847515705312
EPS Growth (TTM),0.3236,0.2348,Gowth rates,1.3781942078364564
Revenue Growth (MRQ),-0.0895,0.0638,Gowth rates,-1.40282131661442
Revenue Growth (TTM),0.1001,0.0994,Gowth rates,1.0070422535211268
Return On Equity (TTM),0.14220000000000002,0.1054,Effectiveness,1.3491461100569262
Return On Assets (TTM),0.0729,0.034100000000000005,Effectiveness,2.1378299120234603
Return On Investment (TTM),0.0804,0.0432,Effectiveness,1.861111111111111
Revenue Per Employee (TTM),1610130.0,610288.0,Effectiveness,2.638311747896075
Total Debt/Total Capital (MRQ),0.39390000000000003,0.579,Financial strength,0.6803108808290156
Change in Debt/Total Capital Quarter over Quarter,,0.0015,Financial strength,
Quick Ratio (MRQ),3.24,0.2,Financial strength,16.2
Interest Coverage (MRQ),1.32,30.06,Financial strength,0.043912175648702596
