,BR
% Below High,0.14730000000000001
% Held by Institutions,0.8519
52-Wk Range,['81.90 - 136.99']
Annual Dividend $,2.16
Annual Dividend %,0.018500000000000003
Ask,119.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.9
Bid,112.0
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,116.81
Day Change $,0.12
Day Change %,0.001
Day High,119.19
Day Low,115.62
Dividend Pay Date,2020-07-02 00:00:00
"EPS (TTM, GAAP)",3.58
Ex-dividend,2020-06-11 00:00:00
Ex-dividend Date,06/11/20
Historical Volatility,0.35100000000000003
Last (size),255.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,13.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",32.58
Prev Close,116.69
Short Interest,0.013500000000000002
Today's Open,119.0
Volume,888168.0
Volume 10-day Avg,645327.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,
Growth Analysts,7.0
Growth 1yr Low Est,0.06465517241379337
Growth 1yr High Est,0.09442060085836901
Growth 1yr Consensus Est,0.07953788663608119
Growth 2yr Low Est,0.07078912466843512
Growth 2yr High Est,0.09819069258604729
Growth 2yr Consensus Est,0.0844899086272412
Growth 5yr Low Est,0.14986234294843587
Growth 5yr High Est,0.16129249736739382
Growth 5yr Consensus Est,0.15557742015791484
Growth 5yr Actual/Est,0.1554271753914438
Growth 3yr Historic,0.11270749616842174
Price/Earnings (TTM),32.58214
Price/Sales (TTM),3.07728
Price/Book (MRQ),11.90333
Price/Cash Flow (TTM),22.00807
5yr Low,48.56
5yr High,138.24
5yr Avg Return,0.1617
EPS Growth 5yr,0.13909090000000002
Revenue Growth 5yr,0.1126562
Dividend Growth 5yr,0.1822368
Short Int Current Month,1533382.0
Short Int Prev Month,1451908.0
Short Int Pct of Float,0.013455600000000002
Days to Cover,1.86536
Float,114.0439
Shares Outstanding,114.8026
Institutions Holding Shares,975.0
FCF Growth 5yr,0.12282556463896296
"Price/Earnings (TTM, GAAP)",32.58
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2724
Operating Profit Margin (TTM),0.1319
Net Profit Margin (TTM),0.0969
Annual Dividend Yield,0.018500000000000003
Dividend Change %,0.32880000000000004
"Dividend Growth Rate, 3 Years",0.17370000000000002
EPS Growth (MRQ),-0.8115000000000001
EPS Growth (TTM),-0.024300000000000002
Revenue Growth (MRQ),0.0212
Revenue Growth (TTM),0.008100000000000001
Return On Equity (TTM),0.3754
Return On Assets (TTM),0.109
Return On Investment (TTM),0.1402
Revenue Per Employee (TTM),395755.0
Total Debt/Total Capital (MRQ),0.6215999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0019
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.17
newConstructs,3
researchTeam,hold
theStreet,buy
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
theStreet since,2011-09-16 00:00:00
cfra since,2020-02-01 00:00:00
ford since,2019-02-08 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
