,2015,2016,2017,2018,2019,2020,Report
high,60.11,71.74,92.44,138.24,136.99,134.3,
low,49.01,48.56,65.22,87.51,92.44,81.9,
change,0.053899999999999997,0.2531,0.3617,0.061,0.3037,-0.0632,
Date,2015-06-30 00:00:00,2016-06-30 00:00:00,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,,Balance Sheet
Cash and Short Term Invs,324.0,728.0,271.0,264.0,273.0,,Balance Sheet
"Trade Accts Recvble, Gross",448.0,456.0,593.0,618.0,667.0,,Balance Sheet
Prov. for Doubtful Accts,-4.0,-2.0,-4.0,-3.0,-3.0,,Balance Sheet
"Total Receivables, Net",445.0,453.0,590.0,615.0,664.0,,Balance Sheet
"Other Curr. Assets, Total",93.0,108.0,129.0,112.0,105.0,,Balance Sheet
Total Current Assets,861.0,1289.0,990.0,991.0,1042.0,,Balance Sheet
Land/Improvements,5.0,,3.0,3.0,3.0,,Balance Sheet
Machinery/Equipment,317.0,,425.0,432.0,436.0,,Balance Sheet
Other Prop./Plant/Equip.,171.0,,139.0,162.0,175.0,,Balance Sheet
Prop./Plant/Equip. - Gross,493.0,,567.0,596.0,613.0,,Balance Sheet
Accumulated Depreciation,-396.0,,-369.0,-392.0,-424.0,,Balance Sheet
Prop./Plant/Equip. - Net,97.0,112.0,198.0,204.0,189.0,,Balance Sheet
"Goodwill, Net",971.0,999.0,1159.0,1255.0,1500.0,,Balance Sheet
Intangibles - Gross,379.0,,800.0,872.0,1039.0,,Balance Sheet
Accum. Intangible Amort.,-184.0,,-314.0,-378.0,-483.0,,Balance Sheet
Intangibles - Net,196.0,210.0,486.0,494.0,556.0,,Balance Sheet
Long Term Investments,33.0,49.0,63.0,80.0,100.0,,Balance Sheet
Note Rcvble - Long Term,,,,,48.0,,Balance Sheet
Other Long Term Assets,29.0,31.0,51.0,59.0,66.0,,Balance Sheet
Total Assets,2368.0,2873.0,3150.0,3305.0,3881.0,,Balance Sheet
Accounts Payable,116.0,133.0,167.0,192.0,134.0,,Balance Sheet
Accrued Expenses,227.0,247.0,301.0,318.0,319.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,125.0,0.0,,,,Balance Sheet
Dividends Payable,31.0,35.0,38.0,43.0,55.0,,Balance Sheet
Customer Advances,73.0,83.0,122.0,146.0,126.0,,Balance Sheet
Income Taxes Payable,29.0,50.0,80.0,25.0,69.0,,Balance Sheet
Other Payables,,,,,53.0,,Balance Sheet
Other Current Liabilities,34.0,21.0,37.0,54.0,47.0,,Balance Sheet
"Other Curr. Lblts, Total",166.0,188.0,277.0,267.0,350.0,,Balance Sheet
Total Current Liabilities,509.0,693.0,745.0,777.0,803.0,,Balance Sheet
Total Long Term Debt,689.0,891.0,1102.0,1053.0,1470.0,,Balance Sheet
Total Debt,689.0,1016.0,1102.0,1053.0,1470.0,,Balance Sheet
Deferred Income Tax,62.0,62.0,82.0,58.0,87.0,,Balance Sheet
"Other Liabilities, Total",180.0,182.0,217.0,322.0,394.0,,Balance Sheet
Total Liabilities,1440.0,1827.0,2146.0,2210.0,2753.0,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Common Stock,2.0,2.0,2.0,2.0,2.0,,Balance Sheet
Additional Paid-In Capital,856.0,901.0,988.0,1049.0,1109.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),1132.0,1298.0,1469.0,1727.0,2088.0,,Balance Sheet
Treasury Stock - Common,-1040.0,-1117.0,-1399.0,-1631.0,-2000.0,,Balance Sheet
Unrealized Gain (Loss),,,2.0,0.0,-13.0,,Balance Sheet
Cum. Trans. Adjustment,,,-49.0,-43.0,-58.0,,Balance Sheet
Other Equity,,,0.0,0.0,0.0,,Balance Sheet
Min. Pension Lblty Adj.,,,-9.0,-8.0,0.0,,Balance Sheet
Other Comprehensive Income,-21.0,-38.0,,,,,Balance Sheet
"Other Equity, Total",-21.0,-38.0,-58.0,-52.0,-58.0,,Balance Sheet
Total Equity,928.0,1046.0,1004.0,1094.0,1128.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,2368.0,2873.0,3150.0,3305.0,3881.0,,Balance Sheet
Ttl Comm. Shares Outs.,118.0,118.0,117.0,116.0,114.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,36.0,36.0,38.0,38.0,40.0,,Balance Sheet
Date,2015-06-30 00:00:00,2016-06-30 00:00:00,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,,Income Statement
Total Revenue,2694.0,2897.0,4143.0,4330.0,4362.0,,Income Statement
"Cost of Revenue, Total",1828.0,1976.0,3110.0,3170.0,3132.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",397.0,421.0,501.0,565.0,578.0,,Income Statement
Other Operating Expense,,,,,0.0,,Income Statement
"Other, Net",,0.0,0.0,0.0,-4.0,,Income Statement
"Other Operat Expse, Total",2.0,,,,0.0,,Income Statement
Total Operating Expense,2227.0,2397.0,3611.0,3735.0,3710.0,,Income Statement
Total Operating Income,467.0,500.0,532.0,595.0,653.0,,Income Statement
"Inter Expse,Net Non-Operat",-25.0,-28.0,-45.0,-42.0,-46.0,,Income Statement
"Inter Income, Non-Operating",,3.0,2.0,4.0,4.0,,Income Statement
"Invest Income, Non-Operat",0.0,-6.0,-1.0,5.0,,,Income Statement
"Inter/Invest Inc, Non-Oper",0.0,-3.0,1.0,9.0,4.0,,Income Statement
"Inter Inc(Exp),Net Non-Oper",3.0,,,,0.0,,Income Statement
Gain(Loss)on Sale of Assets,-6.0,,,,,,Income Statement
Income Before Tax,439.0,469.0,488.0,561.0,607.0,,Income Statement
Income Tax - Total,152.0,161.0,161.0,118.0,125.0,,Income Statement
Income After Tax,287.0,308.0,327.0,443.0,483.0,,Income Statement
Net Inc Before Extra Items,287.0,308.0,327.0,443.0,483.0,,Income Statement
Total Extraordinary Items,,,,-16.0,-1.0,,Income Statement
Total Net Income,287.0,308.0,327.0,428.0,482.0,,Income Statement
Total Adjust to Net Income,,,0.0,,,,Income Statement
Income Available to Common Excl. Extra. Items,287.0,308.0,327.0,443.0,483.0,,Income Statement
Income Available to Common Incl. Extra. Items,287.0,308.0,327.0,428.0,482.0,,Income Statement
Basic/Primary Weighted Average Shares,120.0,118.0,118.0,117.0,116.0,,Income Statement
Basic/Primary EPS Excl. Extra. Items,2.39,2.6,2.77,3.8,4.16,,Income Statement
Basic/Primary EPS Incl. Extra. Items,2.39,2.6,2.77,3.66,4.16,,Income Statement
Dilution Adjustment,,,,,0.0,,Income Statement
Diluted Weighted Average Shares,124.0,122.0,121.0,120.0,119.0,,Income Statement
Diluted EPS Excl. Extra. Items,2.32,2.53,2.71,3.68,4.06,,Income Statement
Diluted EPS Incl. Extra. Items,2.32,2.53,2.71,3.55,4.06,,Income Statement
Div/Share-ComStockPrimIssue,1.08,1.2,1.32,1.46,1.94,,Income Statement
Gross Divid - Common Stock,129.0,142.0,155.0,170.0,224.0,,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",25.0,28.0,45.0,42.0,46.0,,Income Statement
"Depreciat/Amort, Suppl",75.0,84.0,141.0,164.0,173.0,,Income Statement
Total Special Items,25.0,37.0,92.0,9.0,6.0,,Income Statement
Normalzd Income Before Tax,464.0,506.0,580.0,570.0,614.0,,Income Statement
Efct/SpecItemsIncTxs (STEC),9.0,-13.0,-31.0,-24.0,-22.0,,Income Statement
IncTxsExcl ImpctofSpec Itms,161.0,149.0,131.0,94.0,102.0,,Income Statement
Normalized Income After Tax,304.0,357.0,449.0,476.0,511.0,,Income Statement
Normalzd Inc Avail to Common,304.0,357.0,449.0,476.0,511.0,,Income Statement
Basic Normalized EPS,2.53,3.02,3.81,4.08,4.41,,Income Statement
