,HUM
% Below High,0.0384
% Held by Institutions,0.9351999999999999
52-Wk Range,['208.25 - 392.58']
Annual Dividend $,2.5
Annual Dividend %,0.0067
Ask,379.88
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.9
Bid,365.0
Bid Size,100.0
Closing Price,377.5
Day Change $,6.08
Day Change %,0.016399999999999998
Day High,379.87
Day Low,374.25
Dividend Pay Date,2020-07-31 00:00:00
"EPS (TTM, GAAP)",19.48
Ex-dividend,2020-06-29 00:00:00
Ex-dividend Date,06/29/20
Historical Volatility,0.507
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,49.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.07
Prev Close,371.42
Short Interest,0.0152
Today's Open,377.09
Volume,926631.0
Volume 10-day Avg,1041305.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,0.01925254813137034
Growth 1yr High Est,0.11903425042111171
Growth 1yr Consensus Est,0.06914339927624102
Growth 2yr Low Est,0.07934849628790741
Growth 2yr High Est,0.13277352260142394
Growth 2yr Consensus Est,0.10606100944466568
Growth 5yr Low Est,0.15661629795238285
Growth 5yr High Est,0.18196469951477184
Growth 5yr Consensus Est,0.16929049873357735
Growth 5yr Actual/Est,0.17399442423580125
Growth 3yr Historic,0.11767661205360941
Price/Earnings (TTM),19.07135
Price/Sales (TTM),0.72515
Price/Book (MRQ),3.97442
Price/Cash Flow (TTM),15.44636
5yr Low,150.0
5yr High,392.58
5yr Avg Return,0.15121666666666667
EPS Growth 5yr,0.22249960000000002
Revenue Growth 5yr,0.0599479
Dividend Growth 5yr,0.1434289
Short Int Current Month,2007803.0
Short Int Prev Month,1833596.0
Short Int Pct of Float,0.015229999999999999
Days to Cover,1.44767
Float,131.8775
Shares Outstanding,132.2061
Institutions Holding Shares,1095.0
FCF Growth 5yr,1.188437226952847
"Price/Earnings (TTM, GAAP)",19.07
"PEG Ratio (TTM, GAAP)",1.55
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.050499999999999996
Net Profit Margin (TTM),0.0383
Annual Dividend Yield,0.0067
Dividend Change %,0.1316
"Dividend Growth Rate, 3 Years",0.2284
EPS Growth (MRQ),-0.0725
EPS Growth (TTM),0.4964
Revenue Growth (MRQ),0.162
Revenue Growth (TTM),0.1528
Return On Equity (TTM),0.2254
Return On Assets (TTM),0.0824
Return On Investment (TTM),
Revenue Per Employee (TTM),1472087.0
Total Debt/Total Capital (MRQ),0.39670000000000005
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),17.9
newConstructs,3
researchTeam,hold
theStreet,buy
cfra,4
ford,3
marketEdge opinion,long
marketEdge,0
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
theStreet since,2010-03-03 00:00:00
cfra since,2020-02-06 00:00:00
ford since,2019-10-18 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-04-25 00:00:00
