,GILD
% Below High,0.0986
% Held by Institutions,0.7903
52-Wk Range,['60.89 - 85.97']
Annual Dividend $,2.72
Annual Dividend %,0.035
Ask,77.42
Ask Size,1800.0
B/A Ratio,2.7222222222222223
B/A Size,4900x1800
Beta,0.7
Bid,77.41
Bid Size,4900.0
Closing Price,77.49
Day Change $,-0.12
Day Change %,-0.0015
Day High,78.44
Day Low,76.87
Dividend Pay Date,2020-06-29 00:00:00
"EPS (TTM, GAAP)",3.89
Ex-dividend,2020-06-11 00:00:00
Ex-dividend Date,06/11/20
Historical Volatility,0.358
Last (size),1.0
Last (time),4:15p ET 05/08/20
Market Cap,97.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.95
Prev Close,77.61
Short Interest,0.018000000000000002
Today's Open,77.76
Volume,10554683.0
Volume 10-day Avg,24693148.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.13684210526315788
Growth 1yr High Est,-0.06420765027322417
Growth 1yr Consensus Est,-0.10052487776819102
Growth 2yr Low Est,-0.126783421969558
Growth 2yr High Est,0.02629033544732956
Growth 2yr Consensus Est,-0.05024654326111422
Growth 5yr Low Est,-0.11452807462114262
Growth 5yr High Est,-0.0348680773094478
Growth 5yr Consensus Est,-0.07469807596529521
Growth 5yr Actual/Est,-0.07042998683749793
Growth 3yr Historic,-0.0628680286553556
Price/Earnings (TTM),19.95044
Price/Sales (TTM),4.28561
Price/Book (MRQ),4.41034
Price/Cash Flow (TTM),15.38431
5yr Low,60.32
5yr High,123.37
5yr Avg Return,-0.0366
EPS Growth 5yr,-0.1050689
Revenue Growth 5yr,-0.0204324
Dividend Growth 5yr,
Short Int Current Month,22551972.0
Short Int Prev Month,23644384.0
Short Int Pct of Float,0.017984899999999998
Days to Cover,1.53872
Float,1253.906
Shares Outstanding,1254.373
Institutions Holding Shares,2162.0
FCF Growth 5yr,-0.1474745135229295
"Price/Earnings (TTM, GAAP)",19.95
"PEG Ratio (TTM, GAAP)",98.28
Gross Profit Margin (TTM),0.7937000000000001
Operating Profit Margin (TTM),0.196
Net Profit Margin (TTM),0.2172
Annual Dividend Yield,0.035
Dividend Change %,0.10529999999999999
"Dividend Growth Rate, 3 Years",0.11050000000000001
EPS Growth (MRQ),-0.4229
EPS Growth (TTM),-0.1428
Revenue Growth (MRQ),-0.0563
Revenue Growth (TTM),0.0177
Return On Equity (TTM),0.2255
Return On Assets (TTM),0.0805
Return On Investment (TTM),0.09480000000000001
Revenue Per Employee (TTM),1925085.0
Total Debt/Total Capital (MRQ),0.5207
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),2.92
Interest Coverage (MRQ),4.8
newConstructs,2
researchTeam,reduce
cfra,2
theStreet,buy
ford,2
marketEdge opinion,long
marketEdge,-1
creditSuisse,underperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-18 00:00:00
cfra since,2020-04-18 00:00:00
theStreet since,2020-02-24 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-12-13 00:00:00
