,BAX
% Below High,0.0747
% Held by Institutions,0.8518000000000001
52-Wk Range,['69.10 - 95.19']
Annual Dividend $,0.98
Annual Dividend %,0.0111
Ask,89.19
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,87.79
Bid Size,100.0
Change Since Close,-0.36| |(-0.41%)
Closing Price,88.08
Day Change $,-0.36
Day Change %,-0.0040999999999999995
Day High,89.66
Day Low,87.83
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",1.53
Ex-dividend,2020-06-04 00:00:00
Ex-dividend Date,06/04/20
Historical Volatility,0.364
Last (size),5.0
Last (time),6:30p ET 05/08/20
Last Trade,87.72
Market Cap,44.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",57.88
Prev Close,88.44
Short Interest,0.0129
Today's Open,89.49
Volume,1321688.0
Volume 10-day Avg,2365336.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.05373134328358209
Growth 1yr High Est,0.020000000000000018
Growth 1yr Consensus Est,-0.016865671641791036
Growth 2yr Low Est,0.020452940345590698
Growth 2yr High Est,0.07722689075630251
Growth 2yr Consensus Est,0.048839915550946605
Growth 5yr Low Est,0.09921110214161707
Growth 5yr High Est,0.13525911382159067
Growth 5yr Consensus Est,0.11723510798160387
Growth 5yr Actual/Est,0.11634968774680915
Growth 3yr Historic,0.07771103536193325
Price/Earnings (TTM),57.87541
Price/Sales (TTM),3.90434
Price/Book (MRQ),5.83997
Price/Cash Flow (TTM),28.19641
5yr Low,32.18
5yr High,95.19
5yr Avg Return,0.08044999999999998
EPS Growth 5yr,0.1322827
Revenue Growth 5yr,0.0117195
Dividend Growth 5yr,-0.1614422
Short Int Current Month,6516977.0
Short Int Prev Month,6452196.0
Short Int Pct of Float,0.0128688
Days to Cover,2.30752
Float,508.1732
Shares Outstanding,508.8362
Institutions Holding Shares,1487.0
FCF Growth 5yr,0.10703077511999241
"Price/Earnings (TTM, GAAP)",57.88
"PEG Ratio (TTM, GAAP)",5.99
Gross Profit Margin (TTM),0.4241
Operating Profit Margin (TTM),0.09050000000000001
Net Profit Margin (TTM),0.0701
Annual Dividend Yield,0.0111
Dividend Change %,0.16440000000000002
"Dividend Growth Rate, 3 Years",0.1895
EPS Growth (MRQ),2.6197000000000004
EPS Growth (TTM),-0.3761
Revenue Growth (MRQ),-0.078
Revenue Growth (TTM),0.0435
Return On Equity (TTM),0.10439999999999999
Return On Assets (TTM),0.0458
Return On Investment (TTM),0.0558
Revenue Per Employee (TTM),230520.0
Total Debt/Total Capital (MRQ),0.45799999999999996
Change in Debt/Total Capital Quarter over Quarter,0.0031
Quick Ratio (MRQ),2.19
Interest Coverage (MRQ),16.7
newConstructs,3
researchTeam,hold
theStreet,buy
cfra,3
ford,3
creditSuisse,outperform
marketEdge opinion,long
marketEdge,-2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
theStreet since,2020-05-01 00:00:00
cfra since,2015-07-29 00:00:00
ford since,2019-11-22 00:00:00
creditSuisse since,2018-12-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
