,REG
% Above Low,0.3195
% Held by Institutions,1.0367
52-Wk Range,['31.80 - 70.26']
Annual Dividend $,2.38
Annual Dividend %,0.0608
Ask,42.02
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,38.5
Bid Size,100.0
Closing Price,41.96
Day Change $,2.84
Day Change %,0.0726
Day High,43.11
Day Low,39.72
Dividend Pay Date,2020-03-05 00:00:00
"EPS (TTM, GAAP)",0.89
Ex-dividend,2020-02-21 00:00:00
Ex-dividend Date,02/21/20
Historical Volatility,0.515
Last (size),3.0
Last (time),3:59p ET 05/08/20
Market Cap,7.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",47.27
Prev Close,39.12
Short Interest,0.0347
Today's Open,40.96
Volume,1482489.0
Volume 10-day Avg,1583608.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.9703703703703703
Growth 1yr High Est,-0.005813953488372103
Growth 1yr Consensus Est,-0.4880921619293712
Growth 2yr Low Est,10.514814814814814
Growth 2yr High Est,0.06142050863593085
Growth 2yr Consensus Est,5.288117661725373
Growth 5yr Low Est,7.009876543209876
Growth 5yr High Est,0.040947005757287235
Growth 5yr Consensus Est,3.525411774483582
Growth 5yr Actual/Est,0.11750994691808242
Growth 3yr Historic,0.10986301369863014
Price/Earnings (TTM),47.27408
Price/Sales (TTM),8.30975
Price/Book (MRQ),
Price/Cash Flow (TTM),16.40968
5yr Low,31.8
5yr High,85.35
5yr Avg Return,-0.057483333333333324
EPS Growth 5yr,-0.0445179
Revenue Growth 5yr,0.1606909
Dividend Growth 5yr,0.0447481
Short Int Current Month,5758577.0
Short Int Prev Month,5562507.0
Short Int Pct of Float,0.034734799999999996
Days to Cover,3.00686
Float,165.9633
Shares Outstanding,167.7159
Institutions Holding Shares,588.0
FCF Growth 5yr,-6.0068885281385285
"Price/Earnings (TTM, GAAP)",47.27
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7268000000000001
Operating Profit Margin (TTM),0.2647
Net Profit Margin (TTM),0.17920000000000003
Annual Dividend Yield,0.0567
Dividend Change %,0.0541
"Dividend Growth Rate, 3 Years",0.053700000000000005
EPS Growth (MRQ),
EPS Growth (TTM),-0.4767
Revenue Growth (MRQ),
Revenue Growth (TTM),-0.2509
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),1881956.0
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,hold
newConstructs,3
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,1
cfra,3
ford,3
creditSuisse,
theStreet since,2020-02-25 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-16 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-02-14 00:00:00
ford since,2019-11-01 00:00:00
creditSuisse since,
