,C
% Above Low,0.4475
% Held by Institutions,0.7923
52-Wk Range,['32.00 - 83.11']
Annual Dividend $,2.04
Annual Dividend %,0.045700000000000005
Ask,46.48
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.8
Bid,46.32
Bid Size,200.0
Change Since Close,0.14| |(0.30%)
Closing Price,46.32
Day Change $,1.68
Day Change %,0.037599999999999995
Day High,46.42
Day Low,45.26
Dividend Pay Date,2020-05-22 00:00:00
"EPS (TTM, GAAP)",7.34
Ex-dividend,2020-05-01 00:00:00
Ex-dividend Date,05/01/20
Historical Volatility,0.584
Last (size),200.0
Last (time),6:30p ET 05/08/20
Last Trade,46.46
Market Cap,96.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.09
Prev Close,44.64
Short Interest,0.0121
Today's Open,45.32
Volume,22919094.0
Volume 10-day Avg,27938179.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-14 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-1.243393602225313
Growth 1yr High Est,-0.4358381502890174
Growth 1yr Consensus Est,-0.8396158762571652
Growth 2yr Low Est,-1.9959825153983708
Growth 2yr High Est,0.32716289206860594
Growth 2yr Consensus Est,-0.8344098116648824
Growth 5yr Low Est,-0.9028253451803316
Growth 5yr High Est,0.29820740407131485
Growth 5yr Consensus Est,-0.3023089705545084
Growth 5yr Actual/Est,0.22219213919778255
Growth 3yr Historic,0.11416933515778188
Price/Earnings (TTM),6.08505
Price/Sales (TTM),1.21573
Price/Book (MRQ),0.53302
Price/Cash Flow (TTM),4.6394
5yr Low,32.0
5yr High,83.11
5yr Avg Return,0.03415000000000001
EPS Growth 5yr,0.2954813
Revenue Growth 5yr,0.0440241
Dividend Growth 5yr,1.168943
Short Int Current Month,25379406.0
Short Int Prev Month,24018838.0
Short Int Pct of Float,0.0121299
Days to Cover,0.86213
Float,2076.526
Shares Outstanding,2081.808
Institutions Holding Shares,2173.0
FCF Growth 5yr,-1.224945312259244
"Price/Earnings (TTM, GAAP)",6.09
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2747
Net Profit Margin (TTM),0.2259
Annual Dividend Yield,0.045700000000000005
Dividend Change %,0.2468
"Dividend Growth Rate, 3 Years",0.6597
EPS Growth (MRQ),-0.5085000000000001
EPS Growth (TTM),0.06620000000000001
Revenue Growth (MRQ),-0.0758
Revenue Growth (TTM),0.013600000000000001
Return On Equity (TTM),0.0908
Return On Assets (TTM),0.0083
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,2
researchTeam,hold
cfra,4
creditSuisse,outperform
theStreet,hold
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
cfra since,2020-03-03 00:00:00
creditSuisse since,2015-09-28 00:00:00
theStreet since,2020-03-18 00:00:00
ford since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
