,WELL
% Above Low,0.8356
% Held by Institutions,0.8822
52-Wk Range,['24.27 - 93.17']
Annual Dividend $,2.44
Annual Dividend %,0.0581
Ask,45.36
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.9
Bid,42.38
Bid Size,200.0
Closing Price,44.55
Day Change $,2.55
Day Change %,0.060700000000000004
Day High,44.78
Day Low,40.75
Dividend Pay Date,2020-05-28 00:00:00
"EPS (TTM, GAAP)",1.03
Ex-dividend,2020-05-18 00:00:00
Ex-dividend Date,05/18/20
Historical Volatility,0.643
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,18.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",43.4
Prev Close,42.0
Short Interest,0.0296
Today's Open,42.16
Volume,6798947.0
Volume 10-day Avg,4556224.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.945054945054945
Growth 1yr High Est,-0.46394984326018807
Growth 1yr Consensus Est,-0.7045023941575665
Growth 2yr Low Est,-1.0725274725274725
Growth 2yr High Est,-0.17057141285816424
Growth 2yr Consensus Est,-0.6215494426928183
Growth 5yr Low Est,-1.0725274725274725
Growth 5yr High Est,-0.17057141285816424
Growth 5yr Consensus Est,-0.6215494426928183
Growth 5yr Actual/Est,0.14126455475668268
Growth 3yr Historic,0.2782688983184033
Price/Earnings (TTM),43.40202
Price/Sales (TTM),3.64133
Price/Book (MRQ),1.15261
Price/Cash Flow (TTM),12.12406
5yr Low,24.27
5yr High,93.17
5yr Avg Return,-0.049850000000000005
EPS Growth 5yr,0.0476556
Revenue Growth 5yr,0.0890171
Dividend Growth 5yr,0.0181937
Short Int Current Month,11966880.0
Short Int Prev Month,11200672.0
Short Int Pct of Float,0.0295641
Days to Cover,2.67947
Float,409.8727
Shares Outstanding,417.4793
Institutions Holding Shares,1087.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",43.4
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.47750000000000004
Operating Profit Margin (TTM),0.20370000000000002
Net Profit Margin (TTM),0.0932
Annual Dividend Yield,0.05480000000000001
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0039000000000000003
EPS Growth (MRQ),-0.7787999999999999
EPS Growth (TTM),0.0968
Revenue Growth (MRQ),-0.0033000000000000004
Revenue Growth (TTM),0.047599999999999996
Return On Equity (TTM),0.0268
Return On Assets (TTM),0.015
Return On Investment (TTM),0.016399999999999998
Revenue Per Employee (TTM),11529710.0
Total Debt/Total Capital (MRQ),0.4458
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.69
newConstructs,4
researchTeam,hold
theStreet,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,3
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2020-03-19 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-02-14 00:00:00
ford since,2020-04-17 00:00:00
creditSuisse since,
