,EVRG
% Above Low,0.36869999999999997
% Held by Institutions,0.8234999999999999
52-Wk Range,['42.01 - 76.57']
Annual Dividend $,2.02
Annual Dividend %,0.0362
Ask,80.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,39.0
Bid Size,100.0
Closing Price,57.5
Day Change $,1.63
Day Change %,0.0292
Day High,57.51
Day Low,55.86
Dividend Pay Date,2020-06-19 00:00:00
"EPS (TTM, GAAP)",2.72
Ex-dividend,2020-05-19 00:00:00
Ex-dividend Date,05/19/20
Historical Volatility,0.452
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,13.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",20.54
Prev Close,55.87
Short Interest,0.0182
Today's Open,56.91
Volume,3917804.0
Volume 10-day Avg,2253647.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.007092198581560294
Growth 1yr High Est,0.040000000000000036
Growth 1yr Consensus Est,0.01645390070921987
Growth 2yr Low Est,0.03752532928064839
Growth 2yr High Est,0.04403846153846158
Growth 2yr Consensus Est,0.040781895409554986
Growth 5yr Low Est,0.06561140413612251
Growth 5yr High Est,0.06250279144213666
Growth 5yr Consensus Est,0.06405709778912959
Growth 5yr Actual/Est,0.08078655017918385
Growth 3yr Historic,0.05383050847457632
Price/Earnings (TTM),20.54142
Price/Sales (TTM),2.50971
Price/Book (MRQ),1.48524
Price/Cash Flow (TTM),8.10803
5yr Low,33.88
5yr High,76.57
5yr Avg Return,0.09303333333333333
EPS Growth 5yr,0.0304648
Revenue Growth 5yr,0.1462327
Dividend Growth 5yr,0.0177494
Short Int Current Month,4110451.0
Short Int Prev Month,4383704.0
Short Int Pct of Float,0.0181866
Days to Cover,2.14753
Float,226.0701
Shares Outstanding,226.7405
Institutions Holding Shares,802.0
FCF Growth 5yr,-3.3892613121778425
"Price/Earnings (TTM, GAAP)",20.54
"PEG Ratio (TTM, GAAP)",5.27
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2325
Net Profit Margin (TTM),0.1277
Annual Dividend Yield,0.0362
Dividend Change %,0.1446
"Dividend Growth Rate, 3 Years",0.08199999999999999
EPS Growth (MRQ),0.0894
EPS Growth (TTM),0.15880000000000002
Revenue Growth (MRQ),-0.013200000000000002
Revenue Growth (TTM),0.0317
Return On Equity (TTM),0.0713
Return On Assets (TTM),0.024700000000000003
Return On Investment (TTM),0.027700000000000002
Revenue Per Employee (TTM),1093264.0
Total Debt/Total Capital (MRQ),0.5499
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),0.51
Interest Coverage (MRQ),2.31
newConstructs,3
researchTeam,reduce
theStreet,hold
cfra,3
ford,3
marketEdge opinion,avoid
marketEdge,0
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-23 00:00:00
theStreet since,2020-03-12 00:00:00
cfra since,2018-11-08 00:00:00
ford since,2020-01-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
