,DIS
% Above Low,0.3805
% Held by Institutions,0.6339
52-Wk Range,['79.07 - 153.41']
Annual Dividend $,
Annual Dividend %,
Ask,109.85
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.1
Bid,109.51
Bid Size,500.0
Closing Price,109.16
Day Change $,3.59
Day Change %,0.034
Day High,109.18
Day Low,106.63
Dividend Pay Date,01/16/20
"EPS (TTM, GAAP)",2.66
Ex-dividend Date,12/13/19
Historical Volatility,0.414
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,197.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",39.69
Prev Close,105.57
Short Interest,0.013999999999999999
Today's Open,109.05
Volume,24101684.0
Volume 10-day Avg,22193928.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.9250457038391224
Growth 1yr High Est,-0.4543918918918919
Growth 1yr Consensus Est,-0.6897187978655072
Growth 2yr Low Est,1.110647879787756
Growth 2yr High Est,0.07001767634507583
Growth 2yr Consensus Est,0.5903327780664158
Growth 5yr Low Est,0.5530416292025261
Growth 5yr High Est,0.04868438676187961
Growth 5yr Consensus Est,0.3008630079822029
Growth 5yr Actual/Est,0.12496059235839452
Growth 3yr Historic,0.01426925364258097
Price/Earnings (TTM),39.68931
Price/Sales (TTM),2.43809
Price/Book (MRQ),2.07971
Price/Cash Flow (TTM),18.20233
5yr Low,79.07
5yr High,153.41
5yr Avg Return,0.013566666666666663
EPS Growth 5yr,0.0793432
Revenue Growth 5yr,0.0734388
Dividend Growth 5yr,
Short Int Current Month,25242797.0
Short Int Prev Month,25260198.0
Short Int Pct of Float,0.014010400000000001
Days to Cover,1.39015
Float,1802.557
Shares Outstanding,1806.267
Institutions Holding Shares,3495.0
FCF Growth 5yr,-0.09588957561478288
"Price/Earnings (TTM, GAAP)",39.69
"PEG Ratio (TTM, GAAP)",81.5
Gross Profit Margin (TTM),0.3661
Operating Profit Margin (TTM),0.0974
Net Profit Margin (TTM),0.0671
Annual Dividend Yield,
Dividend Change %,0.047599999999999996
"Dividend Growth Rate, 3 Years",0.0742
EPS Growth (MRQ),-0.7772
EPS Growth (TTM),-0.7001000000000001
Revenue Growth (MRQ),-0.1366
Revenue Growth (TTM),0.3088
Return On Equity (TTM),0.0536
Return On Assets (TTM),0.024900000000000002
Return On Investment (TTM),0.0337
Revenue Per Employee (TTM),350727.0
Total Debt/Total Capital (MRQ),0.34909999999999997
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),0.89
Interest Coverage (MRQ),8.2
newConstructs,3
researchTeam,hold
cfra,4
theStreet,hold
creditSuisse,neutral
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
cfra since,2019-08-07 00:00:00
theStreet since,2020-03-13 00:00:00
creditSuisse since,2020-04-20 00:00:00
ford since,2019-12-27 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
