,AEP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.11,40.76,Valuation,0.517909715407262
Price/Sales (TTM),2.55,2.99,Valuation,0.8528428093645484
Price/Book (MRQ),1.97,1.64,Valuation,1.201219512195122
"PEG Ratio (TTM, GAAP)",3.55,1.75,Valuation,2.0285714285714285
Gross Profit Margin (TTM),0.418,0.2613,Profitability,1.5996938384998087
Operating Profit Margin (TTM),0.16760000000000003,0.2121,Profitability,0.7901933050447902
Net Profit Margin (TTM),0.1155,0.1267,Profitability,0.9116022099447514
Annual Dividend Yield,0.0356,0.0376,Dividend,0.9468085106382979
Dividend Change %,0.07110000000000001,0.0634,Dividend,1.1214511041009465
"Dividend Growth Rate, 3 Years",0.0608,0.0638,Dividend,0.9529780564263324
EPS Growth (MRQ),2.2225,0.141,Gowth rates,15.762411347517734
EPS Growth (TTM),-0.0943,0.23329999999999998,Gowth rates,-0.40420060008572656
Revenue Growth (MRQ),0.0364,-0.0092,Gowth rates,-3.956521739130435
Revenue Growth (TTM),-0.0588,0.0131,Gowth rates,-4.488549618320611
Return On Equity (TTM),0.0945,0.0752,Effectiveness,1.2566489361702127
Return On Assets (TTM),0.023700000000000002,0.0204,Effectiveness,1.161764705882353
Return On Investment (TTM),0.0275,0.0233,Effectiveness,1.1802575107296136
Revenue Per Employee (TTM),876155.0,1716817.0,Effectiveness,0.5103368617622029
Total Debt/Total Capital (MRQ),0.6165,0.4533,Financial strength,1.3600264725347453
Change in Debt/Total Capital Quarter over Quarter,0.0011,0.0003,Financial strength,3.6666666666666674
Quick Ratio (MRQ),0.35,0.43,Financial strength,0.813953488372093
Interest Coverage (MRQ),2.88,2.53,Financial strength,1.1383399209486167
