,NSC
% Below High,0.2052
% Held by Institutions,0.7315
52-Wk Range,['112.62 - 219.88']
Annual Dividend $,3.76
Annual Dividend %,0.0222
Ask,179.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,165.7
Bid Size,100.0
Closing Price,174.75
Day Change $,5.17
Day Change %,0.0305
Day High,175.26
Day Low,171.46
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",9.2
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.459
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,44.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.44
Prev Close,169.58
Short Interest,0.013000000000000001
Today's Open,171.91
Volume,768402.0
Volume 10-day Avg,1501461.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.27558257345491377
Growth 1yr High Est,-0.07572815533980592
Growth 1yr Consensus Est,-0.17565536439735985
Growth 2yr Low Est,0.056614307678137465
Growth 2yr High Est,0.07137961980908869
Growth 2yr Consensus Est,0.06399696374361308
Growth 5yr Low Est,0.15660385713577196
Growth 5yr High Est,0.1674035403539238
Growth 5yr Consensus Est,0.16200369874484788
Growth 5yr Actual/Est,0.14916738031070087
Growth 3yr Historic,0.1291355066965102
Price/Earnings (TTM),18.44221
Price/Sales (TTM),3.92048
Price/Book (MRQ),2.91876
Price/Cash Flow (TTM),12.15525
5yr Low,64.51
5yr High,219.88
5yr Avg Return,0.11781666666666667
EPS Growth 5yr,0.09940310000000001
Revenue Growth 5yr,-0.0057082999999999995
Dividend Growth 5yr,0.1015137
Short Int Current Month,3614384.0
Short Int Prev Month,3167639.0
Short Int Pct of Float,0.013042
Days to Cover,1.99404
Float,255.8841
Shares Outstanding,256.1791
Institutions Holding Shares,1620.0
FCF Growth 5yr,0.34847463621602576
"Price/Earnings (TTM, GAAP)",19.0
"PEG Ratio (TTM, GAAP)",3.02
Gross Profit Margin (TTM),0.4889
Operating Profit Margin (TTM),0.3241
Net Profit Margin (TTM),0.2189
Annual Dividend Yield,0.0215
Dividend Change %,0.18420000000000003
"Dividend Growth Rate, 3 Years",0.15109999999999998
EPS Growth (MRQ),-0.4228
EPS Growth (TTM),-0.0904
Revenue Growth (MRQ),-0.0242
Revenue Growth (TTM),-0.0432
Return On Equity (TTM),0.16030000000000003
Return On Assets (TTM),0.0651
Return On Investment (TTM),0.0699
Revenue Per Employee (TTM),450685.0
Total Debt/Total Capital (MRQ),0.45060000000000006
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),0.78
Interest Coverage (MRQ),6.19
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,3
creditSuisse,outperform
theStreet,buy
cfra,3
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-27 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
creditSuisse since,2016-04-22 00:00:00
theStreet since,2016-03-18 00:00:00
cfra since,2015-07-27 00:00:00
ford since,2019-07-12 00:00:00
