,PPG
% Above Low,0.31829999999999997
% Held by Institutions,0.7693000000000001
52-Wk Range,['69.77 - 134.36']
Annual Dividend $,2.04
Annual Dividend %,0.0226
Ask,94.5
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.2
Bid,85.0
Bid Size,300.0
Closing Price,91.98
Day Change $,2.13
Day Change %,0.023700000000000002
Day High,92.71
Day Low,90.87
Dividend Pay Date,2020-06-12 00:00:00
"EPS (TTM, GAAP)",4.93
Ex-dividend,2020-05-08 00:00:00
Ex-dividend Date,05/08/20
Historical Volatility,0.395
Last (size),396.0
Last (time),6:30p ET 05/08/20
Market Cap,21.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.66
Prev Close,89.85
Short Interest,0.016
Today's Open,91.54
Volume,1818755.0
Volume 10-day Avg,2127661.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-27 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.3951612903225806
Growth 1yr High Est,-0.1793650793650794
Growth 1yr Consensus Est,-0.28726318484383
Growth 2yr Low Est,0.011752688172043058
Growth 2yr High Est,0.04668109668109666
Growth 2yr Consensus Est,0.029216892426569857
Growth 5yr Low Est,0.024507193306125524
Growth 5yr High Est,0.0354037762939593
Growth 5yr Consensus Est,0.029955484800042412
Growth 5yr Actual/Est,0.02891267179710738
Growth 3yr Historic,0.014798390809889927
Price/Earnings (TTM),18.66333
Price/Sales (TTM),1.45649
Price/Book (MRQ),4.59459
Price/Cash Flow (TTM),12.60176
5yr Low,69.77
5yr High,134.36
5yr Avg Return,-0.00918333333333333
EPS Growth 5yr,0.0676036
Revenue Growth 5yr,0.0047548
Dividend Growth 5yr,0.0861224
Short Int Current Month,3766838.0
Short Int Prev Month,3139998.0
Short Int Pct of Float,0.0160355
Days to Cover,1.81089
Float,234.9374
Shares Outstanding,235.9234
Institutions Holding Shares,1136.0
FCF Growth 5yr,0.07192951498323161
"Price/Earnings (TTM, GAAP)",18.66
"PEG Ratio (TTM, GAAP)",3.2
Gross Profit Margin (TTM),0.4325
Operating Profit Margin (TTM),0.10619999999999999
Net Profit Margin (TTM),0.0805
Annual Dividend Yield,0.0222
Dividend Change %,0.0645
"Dividend Growth Rate, 3 Years",0.0827
EPS Growth (MRQ),-0.1745
EPS Growth (TTM),-0.07740000000000001
Revenue Growth (MRQ),-0.0803
Revenue Growth (TTM),-0.0209
Return On Equity (TTM),0.2439
Return On Assets (TTM),0.0677
Return On Investment (TTM),0.0944
Revenue Per Employee (TTM),313004.0
Total Debt/Total Capital (MRQ),0.562
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002
Quick Ratio (MRQ),1.0
Interest Coverage (MRQ),19.11
newConstructs,2
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,1
cfra,3
theStreet,hold
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-04-29 00:00:00
theStreet since,2020-03-23 00:00:00
ford since,2020-01-17 00:00:00
creditSuisse since,2018-09-24 00:00:00
