,ANSS
% Below High,0.12050000000000001
% Held by Institutions,1.0031999999999999
52-Wk Range,['174.25 - 299.06']
Annual Dividend $,
Annual Dividend %,
Ask,263.0
Ask Size,400.0
Ask close,263.46
B/A Ratio,0.25
B/A Size,100x400
Beta,1.2
Bid,210.0
Bid Size,100.0
Bid close,262.4
Change Since Close,-0.02| |(-0.01%)
Closing Price,263.02
Day Change $,2.26
Day Change %,0.0087
Day High,264.39
Day Low,259.06
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.76
Ex-dividend Date,No dividend
Historical Volatility,0.435
Last (size),100.0
Last (time),4:15p ET 05/08/20
Last Trade,263.0
Market Cap,22.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",54.84
Prev Close,260.76
Short Interest,0.0285
Today's Open,262.93
Volume,568685.0
Volume 10-day Avg,606682.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.06879999999999997
Growth 1yr High Est,0.01735015772870674
Growth 1yr Consensus Est,-0.025724921135646617
Growth 2yr Low Est,-0.0034721649484535932
Growth 2yr High Est,0.07844252072481839
Growth 2yr Consensus Est,0.0374851778881824
Growth 5yr Low Est,0.1448375215866869
Growth 5yr High Est,0.1864643681318327
Growth 5yr Consensus Est,0.1656509448592598
Growth 5yr Actual/Est,0.16294842632155282
Growth 3yr Historic,0.14790156715235325
Price/Earnings (TTM),54.8352
Price/Sales (TTM),14.84283
Price/Book (MRQ),6.77857
Price/Cash Flow (TTM),47.09339
5yr Low,80.51
5yr High,299.06
5yr Avg Return,0.24861666666666668
EPS Growth 5yr,0.1410989
Revenue Growth 5yr,0.10122619999999999
Dividend Growth 5yr,
Short Int Current Month,2417363.0
Short Int Prev Month,2358417.0
Short Int Pct of Float,0.028537499999999997
Days to Cover,4.27281
Float,84.7399
Shares Outstanding,85.59544
Institutions Holding Shares,931.0
FCF Growth 5yr,0.05069025742289379
"Price/Earnings (TTM, GAAP)",54.84
"PEG Ratio (TTM, GAAP)",7.72
Gross Profit Margin (TTM),0.8793000000000001
Operating Profit Margin (TTM),0.30160000000000003
Net Profit Margin (TTM),0.2731
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7234999999999999
EPS Growth (TTM),-0.0285
Revenue Growth (MRQ),-0.3728
Revenue Growth (TTM),0.13240000000000002
Return On Equity (TTM),0.1374
Return On Assets (TTM),0.10400000000000001
Return On Investment (TTM),0.1198
Revenue Per Employee (TTM),366768.0
Total Debt/Total Capital (MRQ),0.114
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),46.68
newConstructs,4
researchTeam,reduce
theStreet,buy
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
theStreet since,2009-05-04 00:00:00
cfra since,2019-08-07 00:00:00
ford since,2019-12-13 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
