,ANSS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",54.84,50.54,Valuation,1.0850811238622873
Price/Sales (TTM),14.84,13.35,Valuation,1.1116104868913859
Price/Book (MRQ),6.78,15.07,Valuation,0.44990046449900467
"PEG Ratio (TTM, GAAP)",7.72,0.93,Valuation,8.301075268817204
Gross Profit Margin (TTM),0.8793000000000001,0.7291,Profitability,1.2060074063914417
Operating Profit Margin (TTM),0.30160000000000003,0.1791,Profitability,1.6839754327191514
Net Profit Margin (TTM),0.2731,0.1446,Profitability,1.88865836791148
Annual Dividend Yield,,0.0068000000000000005,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0526,Dividend,
EPS Growth (MRQ),-0.7234999999999999,0.3473,Gowth rates,-2.0832133602073135
EPS Growth (TTM),-0.0285,0.5418000000000001,Gowth rates,-0.05260243632336655
Revenue Growth (MRQ),-0.3728,0.1888,Gowth rates,-1.9745762711864407
Revenue Growth (TTM),0.13240000000000002,0.187,Gowth rates,0.7080213903743316
Return On Equity (TTM),0.1374,0.193,Effectiveness,0.7119170984455958
Return On Assets (TTM),0.10400000000000001,0.0956,Effectiveness,1.0878661087866108
Return On Investment (TTM),0.1198,0.10890000000000001,Effectiveness,1.1000918273645546
Revenue Per Employee (TTM),366768.0,640191.0,Effectiveness,0.5729040239553508
Total Debt/Total Capital (MRQ),0.114,0.3724,Financial strength,0.30612244897959184
Change in Debt/Total Capital Quarter over Quarter,,-0.0001,Financial strength,
Quick Ratio (MRQ),,1.41,Financial strength,
Interest Coverage (MRQ),46.68,43.75,Financial strength,1.0669714285714285
