,AMAT
% Below High,0.22510000000000002
% Held by Institutions,0.8326
52-Wk Range,['36.64 - 69.44']
Annual Dividend $,0.88
Annual Dividend %,0.0172
Ask,54.03
Ask Size,400.0
Ask close,53.85
B/A Ratio,0.25
B/A Size,100x400
Beta,1.4
Bid,53.81
Bid Size,100.0
Bid close,53.79
Change Since Close,0.22| |(0.41%)
Closing Price,53.81
Day Change $,2.56
Day Change %,0.05
Day High,53.89
Day Low,52.24
Dividend Pay Date,2020-06-11 00:00:00
"EPS (TTM, GAAP)",3.02
Ex-dividend,2020-05-20 00:00:00
Ex-dividend Date,05/20/20
Historical Volatility,0.59
Last (size),298.0
Last (time),4:15p ET 05/08/20
Last Trade,54.03
Market Cap,49.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",16.94
Prev Close,51.25
Short Interest,0.0195
Today's Open,52.41
Volume,8086132.0
Volume 10-day Avg,8938987.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-05-14 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.16722408026755853
Growth 1yr High Est,0.5016393442622953
Growth 1yr Consensus Est,0.16720763199736838
Growth 2yr Low Est,0.07301446589031707
Growth 2yr High Est,0.32396377693464107
Growth 2yr Consensus Est,0.19848912141247907
Growth 5yr Low Est,0.06251106387555008
Growth 5yr High Est,0.1748006246092274
Growth 5yr Consensus Est,0.11865584424238874
Growth 5yr Actual/Est,0.11098650935655663
Growth 3yr Historic,0.013094209161624903
Price/Earnings (TTM),16.94383
Price/Sales (TTM),3.13399
Price/Book (MRQ),5.43865
Price/Cash Flow (TTM),14.72564
5yr Low,14.25
5yr High,69.44
5yr Avg Return,0.28191666666666665
EPS Growth 5yr,0.266537
Revenue Growth 5yr,0.0999616
Dividend Growth 5yr,0.1543853
Short Int Current Month,17796669.0
Short Int Prev Month,18765391.0
Short Int Pct of Float,0.0194568
Days to Cover,1.9196
Float,914.2864
Shares Outstanding,918.3051
Institutions Holding Shares,1594.0
FCF Growth 5yr,0.3468820402752585
"Price/Earnings (TTM, GAAP)",16.94
"PEG Ratio (TTM, GAAP)",0.89
Gross Profit Margin (TTM),0.43810000000000004
Operating Profit Margin (TTM),0.23199999999999998
Net Profit Margin (TTM),0.1883
Annual Dividend Yield,0.0172
Dividend Change %,0.3667
"Dividend Growth Rate, 3 Years",0.27030000000000004
EPS Growth (MRQ),0.2821
EPS Growth (TTM),-0.18539999999999998
Revenue Growth (MRQ),0.10869999999999999
Revenue Growth (TTM),-0.076
Return On Equity (TTM),0.33520000000000005
Return On Assets (TTM),0.1461
Return On Investment (TTM),0.1863
Revenue Per Employee (TTM),682591.0
Total Debt/Total Capital (MRQ),0.3803
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),1.6
Interest Coverage (MRQ),28.22
newConstructs,2
researchTeam,reduce
theStreet,buy
cfra,3
ford,1
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2014-01-24 00:00:00
cfra since,2015-04-27 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2014-11-13 00:00:00
