,AMAT
Price/Earnings (TTM),16.94383
Price/Sales (TTM),3.13399
Price/Book (MRQ),5.43865
Price/Cash Flow (TTM),14.72564
5yr Low,14.25
5yr High,69.44
5yr Avg Return,0.28191666666666665
EPS Growth 5yr,0.266537
Revenue Growth 5yr,0.0999616
Dividend Growth 5yr,0.1543853
Short Int Current Month,17796669.0
Short Int Prev Month,18765391.0
Short Int Pct of Float,0.0194568
Days to Cover,1.9196
Float,914.2864
Shares Outstanding,918.3051
Institutions Holding Shares,1594.0
% Held by Institutions,0.832638
FCF Growth 5yr,0.3468820402752585
