,FANG
% Above Low,1.8921000000000001
% Held by Institutions,0.9925
52-Wk Range,['14.55 - 114.14']
Annual Dividend $,1.5
Annual Dividend %,0.037200000000000004
Ask,42.45
Ask Size,1700.0
B/A Ratio,0.17647058823529413
B/A Size,300x1700
Beta,2.3
Bid,42.08
Bid Size,300.0
Closing Price,42.08
Day Change $,1.71
Day Change %,0.0424
Day High,42.49
Day Low,40.7
Dividend Pay Date,2020-05-21 00:00:00
"EPS (TTM, GAAP)",-0.35
Ex-dividend,2020-05-13 00:00:00
Ex-dividend Date,05/13/20
Historical Volatility,0.948
Last (size),15.0
Last (time),3:59p ET 05/08/20
Market Cap,6.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,40.37
Short Interest,0.0611
Today's Open,41.56
Volume,2806790.0
Volume 10-day Avg,4060555.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-1.4243070362473347
Growth 1yr High Est,-0.14084507042253513
Growth 1yr Consensus Est,-0.7825760533349349
Growth 2yr Low Est,-1.0940630658623607
Growth 2yr High Est,0.15396271069037187
Growth 2yr Consensus Est,-0.47005017758599443
Growth 5yr Low Est,-0.5470315329311803
Growth 5yr High Est,0.07698135534518594
Growth 5yr Consensus Est,-0.23502508879299722
Growth 5yr Actual/Est,-0.08329680872802678
Growth 3yr Historic,0.07844596238974433
Price/Earnings (TTM),
Price/Sales (TTM),1.59315
Price/Book (MRQ),0.49673
Price/Cash Flow (TTM),4.53777
5yr Low,14.55
5yr High,140.78
5yr Avg Return,-0.026983333333333328
EPS Growth 5yr,-0.16622879999999998
Revenue Growth 5yr,0.5155832
Dividend Growth 5yr,
Short Int Current Month,9601439.0
Short Int Prev Month,8324115.0
Short Int Pct of Float,0.061121299999999996
Days to Cover,1.56128
Float,156.7102
Shares Outstanding,157.8158
Institutions Holding Shares,751.0
FCF Growth 5yr,-2.644931019136626
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7547
Operating Profit Margin (TTM),-0.12050000000000001
Net Profit Margin (TTM),-0.032
Annual Dividend Yield,0.037200000000000004
Dividend Change %,0.8333
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4292
EPS Growth (TTM),-1.0556
Revenue Growth (MRQ),-0.1857
Revenue Growth (TTM),0.5621
Return On Equity (TTM),-0.0032
Return On Assets (TTM),-0.005600000000000001
Return On Investment (TTM),-0.0062
Revenue Per Employee (TTM),5616573.0
Total Debt/Total Capital (MRQ),0.284
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),0.93
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
cfra,4
theStreet,hold
creditSuisse,outperform
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
cfra since,2018-02-14 00:00:00
theStreet since,2019-10-09 00:00:00
creditSuisse since,2019-06-17 00:00:00
ford since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
