,FANG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-35.51,Valuation,
Price/Sales (TTM),1.59,3.31,Valuation,0.48036253776435045
Price/Book (MRQ),0.5,2.33,Valuation,0.2145922746781116
"PEG Ratio (TTM, GAAP)",,0.32,Valuation,
Gross Profit Margin (TTM),0.7547,0.3982,Profitability,1.8952787543947767
Operating Profit Margin (TTM),-0.12050000000000001,-0.0002,Profitability,602.5
Net Profit Margin (TTM),-0.032,-0.0029,Profitability,11.03448275862069
Annual Dividend Yield,0.037200000000000004,0.0675,Dividend,0.5511111111111111
Dividend Change %,0.8333,0.1449,Dividend,5.750862663906142
"Dividend Growth Rate, 3 Years",,0.0891,Dividend,
EPS Growth (MRQ),0.4292,-2.7653,Gowth rates,-0.15520919972516545
EPS Growth (TTM),-1.0556,-1.0931,Gowth rates,0.9656938980880067
Revenue Growth (MRQ),-0.1857,0.0496,Gowth rates,-3.743951612903226
Revenue Growth (TTM),0.5621,-0.0147,Gowth rates,-38.23809523809524
Return On Equity (TTM),-0.0032,0.053899999999999997,Effectiveness,-0.05936920222634509
Return On Assets (TTM),-0.005600000000000001,0.0173,Effectiveness,-0.323699421965318
Return On Investment (TTM),-0.0062,0.0278,Effectiveness,-0.22302158273381295
Revenue Per Employee (TTM),5616573.0,3759409.0,Effectiveness,1.494004243752143
Total Debt/Total Capital (MRQ),0.284,0.37229999999999996,Financial strength,0.762825678216492
Change in Debt/Total Capital Quarter over Quarter,0.0016,0.0016,Financial strength,1.0
Quick Ratio (MRQ),0.93,0.78,Financial strength,1.1923076923076923
Interest Coverage (MRQ),,3.59,Financial strength,
