,2015,2016,2017,2018,2019,2020,Report
high,82.49,113.23,127.45,140.78,114.14,96.92,
low,60.28,55.48,82.77,85.19,73.18,14.55,
change,-0.1313,0.5208,0.23170000000000002,-0.2584,0.0245,-0.5492,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,20.0,1667.0,112.0,215.0,123.0,,Balance Sheet
"Total Receivables, Net",79.0,120.0,232.0,392.0,615.0,,Balance Sheet
Total Inventory,2.0,2.0,9.0,38.0,37.0,,Balance Sheet
Prepaid Expenses,3.0,3.0,5.0,50.0,43.0,,Balance Sheet
Restricted Cash - Current,1.0,1.0,0.0,,5.0,,Balance Sheet
Other Current Assets,5.0,0.0,1.0,231.0,46.0,,Balance Sheet
"Other Curr. Assets, Total",5.0,1.0,1.0,231.0,51.0,,Balance Sheet
Total Current Assets,109.0,1792.0,359.0,925.0,869.0,,Balance Sheet
Natural Resources,3955.0,5160.0,9233.0,22299.0,25782.0,,Balance Sheet
Other Prop./Plant/Equip.,56.0,67.0,272.0,847.0,1181.0,,Balance Sheet
Prop./Plant/Equip. - Gross,4011.0,5227.0,9505.0,23146.0,26963.0,,Balance Sheet
Accumulated Depreciation,-1414.0,-1836.0,-2161.0,-2774.0,-5012.0,,Balance Sheet
Prop./Plant/Equip. - Net,2598.0,3391.0,7344.0,20488.0,21951.0,,Balance Sheet
Intangibles - Gross,,,,,15.0,,Balance Sheet
Accum. Intangible Amort.,,,,,-7.0,,Balance Sheet
Intangibles - Net,,,,,8.0,,Balance Sheet
Long Term Investments,,,,,479.0,,Balance Sheet
Other Long Term Assets,44.0,167.0,69.0,86.0,82.0,,Balance Sheet
Total Assets,2751.0,5350.0,7771.0,21596.0,23531.0,,Balance Sheet
Accounts Payable,20.0,48.0,95.0,128.0,179.0,,Balance Sheet
Accrued Expenses,104.0,82.0,260.0,630.0,697.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Customer Advances,17.0,45.0,99.0,159.0,290.0,,Balance Sheet
Other Current Liabilities,,35.0,123.0,103.0,97.0,,Balance Sheet
"Other Curr. Lblts, Total",17.0,80.0,222.0,262.0,387.0,,Balance Sheet
Total Current Liabilities,141.0,209.0,577.0,1020.0,1263.0,,Balance Sheet
Total Long Term Debt,488.0,1106.0,1477.0,4464.0,5371.0,,Balance Sheet
Total Debt,488.0,1106.0,1477.0,4464.0,5371.0,,Balance Sheet
Deferred Income Tax,,,108.0,1785.0,1886.0,,Balance Sheet
Minority Interest,233.0,321.0,327.0,467.0,1657.0,,Balance Sheet
Reserves,13.0,16.0,20.0,136.0,94.0,,Balance Sheet
Other LT Liabilities,,,6.0,25.0,11.0,,Balance Sheet
"Other Liabilities, Total",13.0,16.0,26.0,161.0,105.0,,Balance Sheet
Total Liabilities,875.0,1652.0,2516.0,7896.0,10282.0,,Balance Sheet
Common Stock,1.0,1.0,1.0,2.0,2.0,,Balance Sheet
Additional Paid-In Capital,2230.0,4216.0,5291.0,12936.0,12357.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),-354.0,-519.0,-37.0,762.0,890.0,,Balance Sheet
"Other Equity, Total",,,,0.0,,,Balance Sheet
Total Equity,1876.0,3697.0,5255.0,13699.0,13249.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,2751.0,5350.0,7771.0,21596.0,23531.0,,Balance Sheet
Ttl Comm. Shares Outs.,67.0,90.0,98.0,164.0,159.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Income Statement
Total Revenue,447.0,527.0,1205.0,2176.0,3964.0,,Income Statement
"Cost of Revenue, Total",122.0,128.0,223.0,436.0,917.0,,Income Statement
Selling/Gen/Admin Expense,13.0,16.0,23.0,38.0,56.0,,Income Statement
Labor & Related Expense,19.0,26.0,26.0,27.0,48.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",32.0,43.0,49.0,65.0,104.0,,Income Statement
Depreciation/Amortization,218.0,178.0,327.0,623.0,1447.0,,Income Statement
Impair-Assets Held for Use,815.0,246.0,0.0,0.0,790.0,,Income Statement
Other Unusual Expnse (In),,33.0,0.0,37.0,56.0,,Income Statement
Unusual Expense (Income),815.0,279.0,0.0,37.0,846.0,,Income Statement
"Other Operat Expse, Total",1.0,1.0,1.0,5.0,11.0,,Income Statement
Total Operating Expense,1187.0,629.0,600.0,1165.0,3325.0,,Income Statement
Total Operating Income,-740.0,-102.0,605.0,1011.0,639.0,,Income Statement
"Inter Expse, Non-Operating",-42.0,-41.0,-41.0,-87.0,-238.0,,Income Statement
"Inter Capital, Non-Operat",,,,,66.0,,Income Statement
