,M
% Above Low,0.226
% Held by Institutions,0.9454
52-Wk Range,['4.38 - 23.40']
Annual Dividend $,
Annual Dividend %,
Ask,5.4
Ask Size,2900.0
B/A Ratio,2.413793103448276
B/A Size,7000x2900
Beta,1.6
Bid,5.38
Bid Size,7000.0
Closing Price,5.37
Day Change $,0.29
Day Change %,0.0571
Day High,5.37
Day Low,5.19
Dividend Pay Date,04/01/20
"EPS (TTM, GAAP)",1.81
Ex-dividend Date,03/12/20
Historical Volatility,0.7170000000000001
Last (size),114.0
Last (time),6:30p ET 05/08/20
Market Cap,1.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",2.81
Prev Close,5.08
Short Interest,0.2945
Today's Open,5.26
Volume,25397488.0
Volume 10-day Avg,35109832.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-01 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-1.6470588235294117
Growth 1yr High Est,-0.7075
Growth 1yr Consensus Est,-1.1772794117647059
Growth 2yr Low Est,-1.4677981864682632
Growth 2yr High Est,0.22317307692307708
Growth 2yr Consensus Est,-0.6223125547725931
Growth 5yr Low Est,-0.7131234699654335
Growth 5yr High Est,0.12896621760592353
Growth 5yr Consensus Est,-0.292078626179755
Growth 5yr Actual/Est,-1.2414740134476507
Growth 3yr Historic,-0.04876860888657622
Price/Earnings (TTM),2.80671
Price/Sales (TTM),0.0621
Price/Book (MRQ),0.24615
Price/Cash Flow (TTM),1.0182
5yr Low,4.38
5yr High,73.61
5yr Avg Return,-0.2802
EPS Growth 5yr,-0.1555945
Revenue Growth 5yr,-0.0205692
Dividend Growth 5yr,
Short Int Current Month,91023666.0
Short Int Prev Month,88612667.0
Short Int Pct of Float,0.2945364
Days to Cover,2.17422
Float,309.3113
Shares Outstanding,309.6703
Institutions Holding Shares,688.0
FCF Growth 5yr,-0.09737484991076342
"Price/Earnings (TTM, GAAP)",2.81
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4011
Operating Profit Margin (TTM),0.0348
Net Profit Margin (TTM),0.0223
Annual Dividend Yield,
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0039000000000000003
EPS Growth (MRQ),168.6407
EPS Growth (TTM),-0.4825
Revenue Growth (MRQ),0.6014
Revenue Growth (TTM),-0.0159
Return On Equity (TTM),0.08800000000000001
Return On Assets (TTM),0.0279
Return On Investment (TTM),0.0384
Revenue Per Employee (TTM),205943.0
Total Debt/Total Capital (MRQ),0.3961
Change in Debt/Total Capital Quarter over Quarter,-0.002
Quick Ratio (MRQ),0.28
Interest Coverage (MRQ),19.1
newConstructs,3
researchTeam,reduce
theStreet,hold
cfra,2
ford,2
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,underperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-28 00:00:00
theStreet since,2019-02-06 00:00:00
cfra since,2020-03-24 00:00:00
ford since,2020-03-20 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-10-18 00:00:00
