,MCD
% Below High,0.1834
% Held by Institutions,0.6518999999999999
52-Wk Range,['124.23 - 221.93']
Annual Dividend $,5.0
Annual Dividend %,0.0276
Ask,182.0
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.7
Bid,181.24
Bid Size,400.0
Closing Price,181.23
Day Change $,0.11
Day Change %,0.0006
Day High,183.43
Day Low,179.91
Dividend Pay Date,2020-03-16 00:00:00
"EPS (TTM, GAAP)",7.63
Ex-dividend,2020-02-28 00:00:00
Ex-dividend Date,02/28/20
Historical Volatility,0.391
Last (size),15.0
Last (time),6:30p ET 05/08/20
Market Cap,134.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",23.72
Prev Close,181.12
Short Interest,0.011699999999999999
Today's Open,183.2
Volume,3411874.0
Volume 10-day Avg,3974495.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,-0.48267008985879334
Growth 1yr High Est,-0.19506172839506175
Growth 1yr Consensus Est,-0.33886590912692754
Growth 2yr Low Est,0.12591061263884157
Growth 2yr High Est,0.0696470499128986
Growth 2yr Consensus Est,0.09777883127587009
Growth 5yr Low Est,0.11286836659762792
Growth 5yr High Est,0.08859239791664453
Growth 5yr Consensus Est,0.10073038225713622
Growth 5yr Actual/Est,0.076709917787038
Growth 3yr Historic,0.04464781236933135
Price/Earnings (TTM),23.72469
Price/Sales (TTM),6.46333
Price/Book (MRQ),
Price/Cash Flow (TTM),18.07469
5yr Low,87.5
5yr High,221.93
5yr Avg Return,0.11985
EPS Growth 5yr,0.1047696
Revenue Growth 5yr,-0.051409500000000004
Dividend Growth 5yr,0.0759633
Short Int Current Month,8670237.0
Short Int Prev Month,7617160.0
Short Int Pct of Float,0.0116759
Days to Cover,1.79447
Float,742.6637
Shares Outstanding,743.5151
Institutions Holding Shares,2715.0
FCF Growth 5yr,0.05356813183602205
"Price/Earnings (TTM, GAAP)",23.72
"PEG Ratio (TTM, GAAP)",7.06
Gross Profit Margin (TTM),0.5242
Operating Profit Margin (TTM),0.4161
Net Profit Margin (TTM),0.2786
Annual Dividend Yield,0.0276
Dividend Change %,0.12890000000000001
"Dividend Growth Rate, 3 Years",0.0943
EPS Growth (MRQ),-0.2916
EPS Growth (TTM),0.008
Revenue Growth (MRQ),-0.1186
Revenue Growth (TTM),-0.0036
Return On Equity (TTM),
Return On Assets (TTM),0.11960000000000001
Return On Investment (TTM),0.1295
Revenue Per Employee (TTM),101636.0
Total Debt/Total Capital (MRQ),1.3112000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0024
Quick Ratio (MRQ),1.89
Interest Coverage (MRQ),5.9
newConstructs,2
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,1
cfra,4
theStreet,buy
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-01-30 00:00:00
theStreet since,2019-08-27 00:00:00
ford since,2018-06-08 00:00:00
creditSuisse since,2019-06-25 00:00:00
