,AME
% Below High,0.17579999999999998
% Held by Institutions,0.8758
52-Wk Range,['54.82 - 102.31']
Annual Dividend $,0.72
Annual Dividend %,0.0086
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,60.0
Bid Size,
Change Since Close,0.00| |(0.00%)
Closing Price,84.32
Day Change $,1.01
Day Change %,0.0121
Day High,85.09
Day Low,83.64
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",4.08
Ex-dividend,2020-06-11 00:00:00
Ex-dividend Date,06/11/20
Historical Volatility,0.44200000000000006
Last (size),879.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,19.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",20.44
Prev Close,83.31
Short Interest,0.012
Today's Open,84.73
Volume,1128573.0
Volume 10-day Avg,1444520.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.2936893203883495
Growth 1yr High Est,-0.031100478468899517
Growth 1yr Consensus Est,-0.1623948994286245
Growth 2yr Low Est,0.006076302005137868
Growth 2yr High Est,0.03630161261740206
Growth 2yr Consensus Est,0.021188957311269963
Growth 5yr Low Est,0.13610908784782488
Growth 5yr High Est,0.1533475532075756
Growth 5yr Consensus Est,0.14472832052770024
Growth 5yr Actual/Est,0.1344314045169154
Growth 3yr Historic,0.13352315736761816
Price/Earnings (TTM),20.4358
Price/Sales (TTM),3.76773
Price/Book (MRQ),3.58881
Price/Cash Flow (TTM),16.19481
5yr Low,42.82
5yr High,102.31
5yr Avg Return,0.11276666666666665
EPS Growth 5yr,0.09682700000000001
Revenue Growth 5yr,0.051037
Dividend Growth 5yr,0.1115649
Short Int Current Month,2721152.0
Short Int Prev Month,2439850.0
Short Int Pct of Float,0.011979
Days to Cover,1.92028
Float,228.4048
Shares Outstanding,229.4321
Institutions Holding Shares,902.0
FCF Growth 5yr,0.1107468479541672
"Price/Earnings (TTM, GAAP)",20.44
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3494
Operating Profit Margin (TTM),0.24980000000000002
Net Profit Margin (TTM),0.18480000000000002
Annual Dividend Yield,0.0086
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.1587
EPS Growth (MRQ),0.2663
EPS Growth (TTM),0.19649999999999998
Revenue Growth (MRQ),-0.0786
Revenue Growth (TTM),0.0226
Return On Equity (TTM),0.1917
Return On Assets (TTM),0.0962
Return On Investment (TTM),0.1103
Revenue Per Employee (TTM),280281.0
Total Debt/Total Capital (MRQ),0.37920000000000004
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),1.43
Interest Coverage (MRQ),12.13
newConstructs,4
researchTeam,hold
cfra,4
theStreet,buy
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
cfra since,2017-02-07 00:00:00
theStreet since,2009-04-30 00:00:00
ford since,2020-02-07 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
