,SEE
% Above Low,0.7373999999999999
% Held by Institutions,0.9328
52-Wk Range,['17.06 - 45.86']
Annual Dividend $,0.64
Annual Dividend %,0.022400000000000003
Ask,34.0
Ask Size,300.0
B/A Ratio,29.0
B/A Size,8700x300
Beta,1.1
Bid,25.0
Bid Size,8700.0
Closing Price,29.64
Day Change $,1.11
Day Change %,0.038900000000000004
Day High,29.83
Day Low,28.91
Dividend Pay Date,2020-03-20 00:00:00
"EPS (TTM, GAAP)",1.91
Ex-dividend,2020-03-05 00:00:00
Ex-dividend Date,03/05/20
Historical Volatility,0.517
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,4.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.49
Prev Close,28.53
Short Interest,0.034
Today's Open,29.02
Volume,752379.0
Volume 10-day Avg,1973935.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-31 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.0763636363636363
Growth 1yr High Est,0.2077464788732395
Growth 1yr Consensus Est,0.0656914212548016
Growth 2yr Low Est,-0.0027487473156763698
Growth 2yr High Est,0.19133679628793165
Growth 2yr Consensus Est,0.09429402448612764
Growth 5yr Low Est,0.12599305058458607
Growth 5yr High Est,0.21654539759239383
Growth 5yr Consensus Est,0.17126922408848994
Growth 5yr Actual/Est,0.13947166414557977
Growth 3yr Historic,0.1273038674033149
Price/Earnings (TTM),15.48589
Price/Sales (TTM),0.95086
Price/Book (MRQ),
Price/Cash Flow (TTM),10.01702
5yr Low,17.06
5yr High,55.84
5yr Avg Return,-0.05856666666666666
EPS Growth 5yr,0.0506816
Revenue Growth 5yr,-0.0917172
Dividend Growth 5yr,0.0424022
Short Int Current Month,5250451.0
Short Int Prev Month,4725833.0
Short Int Pct of Float,0.033961
Days to Cover,2.99952
Float,154.6074
Shares Outstanding,155.6626
Institutions Holding Shares,583.0
FCF Growth 5yr,-0.10207512479532665
"Price/Earnings (TTM, GAAP)",15.49
"PEG Ratio (TTM, GAAP)",3.92
Gross Profit Margin (TTM),0.32770000000000005
Operating Profit Margin (TTM),0.1253
Net Profit Margin (TTM),0.0611
Annual Dividend Yield,0.0216
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0161
EPS Growth (MRQ),0.0222
EPS Growth (TTM),-0.1233
Revenue Growth (MRQ),-0.0962
Revenue Growth (TTM),0.029300000000000003
Return On Equity (TTM),
Return On Assets (TTM),0.05480000000000001
Return On Investment (TTM),0.07440000000000001
Revenue Per Employee (TTM),294079.0
Total Debt/Total Capital (MRQ),1.0493000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),0.73
Interest Coverage (MRQ),4.89
newConstructs,2
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,1
cfra,3
theStreet,hold
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-02-12 00:00:00
theStreet since,2019-02-08 00:00:00
ford since,2019-12-20 00:00:00
creditSuisse since,2019-04-29 00:00:00
