,TDG
% Above Low,0.7625000000000001
% Held by Institutions,1.0014
52-Wk Range,['200.06 - 673.51']
Annual Dividend $,
Annual Dividend %,
Ask,370.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,336.5
Bid Size,200.0
Closing Price,352.61
Day Change $,28.06
Day Change %,0.08650000000000001
Day High,353.34
Day Low,330.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",12.76
Ex-dividend Date,No dividend
Historical Volatility,0.658
Last (size),19.0
Last (time),6:30p ET 05/08/20
Market Cap,19.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",27.64
Prev Close,324.55
Short Interest,0.0676
Today's Open,332.55
Volume,456860.0
Volume 10-day Avg,819559.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.4298850574712644
Growth 1yr High Est,-0.13671023965141615
Growth 1yr Consensus Est,-0.28329764856134027
Growth 2yr Low Est,-0.334902206154987
Growth 2yr High Est,0.21555655209858215
Growth 2yr Consensus Est,-0.059672827028202424
Growth 5yr Low Est,-0.05613424043497012
Growth 5yr High Est,0.2243449115531304
Growth 5yr Consensus Est,0.08410533555908015
Growth 5yr Actual/Est,0.027212769182598517
Growth 3yr Historic,0.11622592026471512
Price/Earnings (TTM),27.63789
Price/Sales (TTM),3.20878
Price/Book (MRQ),
Price/Cash Flow (TTM),18.72992
5yr Low,180.76
5yr High,673.51
5yr Avg Return,0.1240333333333333
EPS Growth 5yr,0.32552889999999995
Revenue Growth 5yr,0.1709309
Dividend Growth 5yr,
Short Int Current Month,3549701.0
Short Int Prev Month,3278161.0
Short Int Pct of Float,0.0676219
Days to Cover,3.46753
Float,52.84098
Shares Outstanding,54.07232
Institutions Holding Shares,743.0
FCF Growth 5yr,0.15573353190930672
"Price/Earnings (TTM, GAAP)",27.64
"PEG Ratio (TTM, GAAP)",7.52
Gross Profit Margin (TTM),0.5511
Operating Profit Margin (TTM),0.3636
Net Profit Margin (TTM),0.16820000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),5.7291
EPS Growth (TTM),-0.133
Revenue Growth (MRQ),-0.015
Revenue Growth (TTM),0.4083
Return On Equity (TTM),
Return On Assets (TTM),0.057999999999999996
Return On Investment (TTM),0.0644
Revenue Per Employee (TTM),324697.0
Total Debt/Total Capital (MRQ),1.2916999999999998
Change in Debt/Total Capital Quarter over Quarter,0.0015
Quick Ratio (MRQ),2.35
Interest Coverage (MRQ),2.42
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,3
theStreet,hold
creditSuisse,outperform
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-04 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2016-10-24 00:00:00
theStreet since,2020-03-16 00:00:00
creditSuisse since,2012-11-08 00:00:00
ford since,2020-03-13 00:00:00
