,AAPL
% Below High,0.054000000000000006
% Held by Institutions,0.5986
52-Wk Range,['170.27 - 327.85']
Annual Dividend $,3.28
Annual Dividend %,0.0108
Ask,310.5
Ask Size,300.0
Ask close,0.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,1.2
Bid,310.41
Bid Size,500.0
Bid close,227.18
Change Since Close,0.37| |(0.12%)
Closing Price,310.13
Day Change $,7.21
Day Change %,0.023799999999999998
Day High,310.35
Day Low,304.29
Dividend Pay Date,2020-05-14 00:00:00
"EPS (TTM, GAAP)",12.76
Ex-dividend,2020-05-08 00:00:00
Ex-dividend Date,05/08/20
Historical Volatility,0.408
Last (size),27.0
Last (time),4:15p ET 05/08/20
Last Trade,310.5
Market Cap,1.3T
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",23.81
Prev Close,302.92
Short Interest,0.0079
Today's Open,305.64
Volume,33470393.0
Volume 10-day Avg,36385759.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,40.0
Growth 1yr Low Est,0.01043478260869568
Growth 1yr High Est,0.1262711864406778
Growth 1yr Consensus Est,0.06835298452468674
Growth 2yr Low Est,0.042222554815535496
Growth 2yr High Est,0.19330865567331112
Growth 2yr Consensus Est,0.11776560524442331
Growth 5yr Low Est,0.0937194303031269
Growth 5yr High Est,0.1741843824814643
Growth 5yr Consensus Est,0.1339519063922956
Growth 5yr Actual/Est,0.13152993452152303
Growth 3yr Historic,0.07287008699885403
Price/Earnings (TTM),23.81154
Price/Sales (TTM),4.9127
Price/Book (MRQ),16.7468
Price/Cash Flow (TTM),19.09952
5yr Low,89.47
5yr High,327.85
5yr Avg Return,0.21436666666666668
EPS Growth 5yr,0.1299321
Revenue Growth 5yr,0.0731487
Dividend Growth 5yr,0.1061614
Short Int Current Month,34636195.0
Short Int Prev Month,39059449.0
Short Int Pct of Float,0.007921899999999999
Days to Cover,0.90492
Float,4321.135
Shares Outstanding,4334.335
Institutions Holding Shares,4228.0
FCF Growth 5yr,-0.021708178976017112
"Price/Earnings (TTM, GAAP)",23.81
"PEG Ratio (TTM, GAAP)",1.88
Gross Profit Margin (TTM),0.3811
Operating Profit Margin (TTM),0.24480000000000002
Net Profit Margin (TTM),0.21350000000000002
Annual Dividend Yield,0.0108
Dividend Change %,0.10289999999999999
"Dividend Growth Rate, 3 Years",0.11230000000000001
EPS Growth (MRQ),-0.48840000000000006
EPS Growth (TTM),0.09330000000000001
Revenue Growth (MRQ),-0.3649
Revenue Growth (TTM),0.0367
Return On Equity (TTM),0.6209
Return On Assets (TTM),0.1728
Return On Investment (TTM),0.2422
Revenue Per Employee (TTM),1956066.0
Total Debt/Total Capital (MRQ),0.5841
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),1.46
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
cfra,4
theStreet,buy
ford,3
creditSuisse,neutral
marketEdge opinion,neutralfromavoid
marketEdge,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
cfra since,2017-08-02 00:00:00
theStreet since,2009-04-13 00:00:00
ford since,2020-03-13 00:00:00
creditSuisse since,2019-04-11 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
