,2015,2016,2017,2018,2019,2020,Report
high,41.68,33.54,37.85,38.43,22.18,19.01,
low,30.12,23.02,28.75,15.38,15.15,7.2,
change,-0.1895,-0.069,0.1795,-0.5456000000000001,0.095,-0.5519,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,1851.0,1328.0,2006.0,1148.0,1049.0,,Balance Sheet
"Total Receivables, Net",1094.0,1217.0,1416.0,795.0,1018.0,,Balance Sheet
Prepaid Expenses,121.0,117.0,124.0,127.0,144.0,,Balance Sheet
Total Current Assets,,,,,,,Balance Sheet
Land/Improvements,59.0,68.0,88.0,84.0,110.0,,Balance Sheet
Machinery/Equipment,687.0,710.0,883.0,934.0,1044.0,,Balance Sheet
Construction in Progress,86.0,117.0,45.0,44.0,74.0,,Balance Sheet
Other Prop./Plant/Equip.,198.0,211.0,204.0,213.0,599.0,,Balance Sheet
Prop./Plant/Equip. - Gross,1030.0,1106.0,1220.0,1274.0,1828.0,,Balance Sheet
Accumulated Depreciation,-603.0,-641.0,-729.0,-805.0,-919.0,,Balance Sheet
Prop./Plant/Equip. - Net,427.0,465.0,491.0,469.0,909.0,,Balance Sheet
"Goodwill, Net",6176.0,6129.0,6591.0,7157.0,8509.0,,Balance Sheet
Intangibles - Gross,1423.0,1481.0,1660.0,2268.0,7499.0,,Balance Sheet
Accum. Intangible Amort.,-69.0,-82.0,-101.0,-92.0,-141.0,,Balance Sheet
Intangibles - Net,1354.0,1399.0,1559.0,2176.0,7358.0,,Balance Sheet
LT Invt. - Affiliate Comp.,353.0,279.0,277.0,296.0,351.0,,Balance Sheet
LT Investments - Other,6682.0,5632.0,6055.0,6531.0,8287.0,,Balance Sheet
Long Term Investments,7035.0,5911.0,6333.0,6827.0,8638.0,,Balance Sheet
"Other Assets, Total",7014.0,9168.0,13149.0,12279.0,11795.0,,Balance Sheet
Total Assets,25073.0,25734.0,31669.0,30978.0,39420.0,,Balance Sheet
