,IVZ
% Above Low,0.1081
% Held by Institutions,0.7937000000000001
52-Wk Range,['7.20 - 21.50']
Annual Dividend $,0.62
Annual Dividend %,0.0808
Ask,8.05
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,1.5
Bid,7.8
Bid Size,100.0
Closing Price,7.98
Day Change $,0.465
Day Change %,0.061900000000000004
Day High,8.0
Day Low,7.66
Dividend Pay Date,2020-06-03 00:00:00
"EPS (TTM, GAAP)",1.02
Ex-dividend,2020-05-08 00:00:00
Ex-dividend Date,05/08/20
Historical Volatility,0.654
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,3.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.52
Prev Close,7.52
Short Interest,0.08439999999999999
Today's Open,7.67
Volume,6720610.0
Volume 10-day Avg,9267699.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.3963133640552995
Growth 1yr High Est,-0.3695652173913043
Growth 1yr Consensus Est,-0.3829392907233019
Growth 2yr Low Est,-0.20197347592077952
Growth 2yr High Est,-0.12156421789105448
Growth 2yr Consensus Est,-0.161768846905917
Growth 5yr Low Est,-0.14577954057761985
Growth 5yr High Est,-0.054213878712872005
Growth 5yr Consensus Est,-0.09999670964524593
Growth 5yr Actual/Est,-0.1006643898800762
Growth 3yr Historic,-0.012654320987654372
Price/Earnings (TTM),7.5171
Price/Sales (TTM),0.54136
Price/Book (MRQ),0.37094
Price/Cash Flow (TTM),5.22138
5yr Low,7.2
5yr High,41.68
5yr Avg Return,-0.18025000000000002
EPS Growth 5yr,-0.1084755
Revenue Growth 5yr,0.0345259
Dividend Growth 5yr,0.0475629
Short Int Current Month,31159979.0
Short Int Prev Month,28161041.0
Short Int Pct of Float,0.08438029999999999
Days to Cover,4.94788
Float,375.6805
Shares Outstanding,458.8957
Institutions Holding Shares,732.0
FCF Growth 5yr,0.28223670027682146
"Price/Earnings (TTM, GAAP)",7.52
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6862
Operating Profit Margin (TTM),0.1423
Net Profit Margin (TTM),0.1026
Annual Dividend Yield,0.0808
Dividend Change %,0.0336
"Dividend Growth Rate, 3 Years",0.0348
EPS Growth (MRQ),-0.5474
EPS Growth (TTM),-0.4886
Revenue Growth (MRQ),-0.08259999999999999
Revenue Growth (TTM),0.2569
Return On Equity (TTM),0.0516
Return On Assets (TTM),0.0193
Return On Investment (TTM),0.0318
Revenue Per Employee (TTM),737071.0
Total Debt/Total Capital (MRQ),0.3829
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),28.04
newConstructs,3
researchTeam,hold
theStreet,hold
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-04 00:00:00
theStreet since,2018-05-30 00:00:00
cfra since,2020-04-24 00:00:00
ford since,2020-02-21 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-10-18 00:00:00
