,GPN
% Below High,0.165
% Held by Institutions,0.9079
52-Wk Range,['105.54 - 209.62']
Annual Dividend $,0.78
Annual Dividend %,0.0045000000000000005
Ask,179.74
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.1
Bid,172.0
Bid Size,300.0
Closing Price,175.04
Day Change $,0.28
Day Change %,0.0016
Day High,177.41
Day Low,172.68
Dividend Pay Date,2020-06-26 00:00:00
"EPS (TTM, GAAP)",2.12
Ex-dividend,2020-06-11 00:00:00
Ex-dividend Date,06/11/20
Historical Volatility,0.509
Last (size),30.0
Last (time),6:30p ET 05/08/20
Market Cap,52.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",82.55
Prev Close,174.76
Short Interest,0.0154
Today's Open,176.05
Volume,1587693.0
Volume 10-day Avg,1795803.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.18566775244299671
Growth 1yr High Est,0.1594202898550725
Growth 1yr Consensus Est,-0.013123731293962104
Growth 2yr Low Est,0.0021661237785016163
Growth 2yr High Est,0.19915458937198072
Growth 2yr Consensus Est,0.10066035657524117
Growth 5yr Low Est,0.12498687909753167
Growth 5yr High Est,0.22161795346108043
Growth 5yr Consensus Est,0.17330241627930604
Growth 5yr Actual/Est,0.18668940384156357
Growth 3yr Historic,0.12318072833330929
Price/Earnings (TTM),82.5461
Price/Sales (TTM),8.81115
Price/Book (MRQ),1.91265
Price/Cash Flow (TTM),32.62103
5yr Low,50.42
5yr High,209.62
5yr Avg Return,0.2606
Short Int Current Month,4570522.0
Short Int Prev Month,4586456.0
Short Int Pct of Float,0.0153589
Days to Cover,1.97487
Float,297.5763
Shares Outstanding,299.1057
Institutions Holding Shares,1151.0
FCF Growth 5yr,0.39258319291800114
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",82.55
"PEG Ratio (TTM, GAAP)",4.74
Gross Profit Margin (TTM),0.5468000000000001
Operating Profit Margin (TTM),0.1409
Net Profit Margin (TTM),0.08
Annual Dividend Yield,0.0045000000000000005
Dividend Change %,4.625
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4096
EPS Growth (TTM),-0.2525
Revenue Growth (MRQ),-0.042300000000000004
Revenue Growth (TTM),0.7173
Return On Equity (TTM),0.029500000000000002
Return On Assets (TTM),0.016200000000000003
Return On Investment (TTM),0.0187
Revenue Per Employee (TTM),247186.0
Total Debt/Total Capital (MRQ),0.2681
Change in Debt/Total Capital Quarter over Quarter,-0.0043
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.9
newConstructs,4
researchTeam,hold
theStreet,buy
cfra,4
creditSuisse,outperform
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2020-05-07 00:00:00
cfra since,2020-03-18 00:00:00
creditSuisse since,2020-01-23 00:00:00
ford since,2020-02-14 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
