,GPN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",82.55,38.57,Valuation,2.1402644542390457
Price/Sales (TTM),8.81,10.33,Valuation,0.8528557599225557
Price/Book (MRQ),1.91,16.63,Valuation,0.11485267588695129
"PEG Ratio (TTM, GAAP)",4.74,3.85,Valuation,1.2311688311688311
Gross Profit Margin (TTM),0.5468000000000001,0.443,Profitability,1.23431151241535
Operating Profit Margin (TTM),0.1409,0.3113,Profitability,0.45261805332476707
Net Profit Margin (TTM),0.08,0.2429,Profitability,0.32935364347468093
Annual Dividend Yield,0.0045000000000000005,0.010400000000000001,Dividend,0.4326923076923077
Dividend Change %,4.625,0.27890000000000004,Dividend,16.583004661168875
"Dividend Growth Rate, 3 Years",,0.1068,Dividend,
EPS Growth (MRQ),0.4096,-0.166,Gowth rates,-2.467469879518072
EPS Growth (TTM),-0.2525,0.1002,Gowth rates,-2.5199600798403194
Revenue Growth (MRQ),-0.042300000000000004,0.19760000000000003,Gowth rates,-0.21406882591093115
Revenue Growth (TTM),0.7173,0.171,Gowth rates,4.1947368421052635
Return On Equity (TTM),0.029500000000000002,0.4304,Effectiveness,0.06854089219330856
Return On Assets (TTM),0.016200000000000003,0.1204,Effectiveness,0.13455149501661132
Return On Investment (TTM),0.0187,0.18920000000000003,Effectiveness,0.09883720930232558
Revenue Per Employee (TTM),247186.0,654648.0,Effectiveness,0.37758612261856755
Total Debt/Total Capital (MRQ),0.2681,0.4744,Financial strength,0.5651349072512648
Change in Debt/Total Capital Quarter over Quarter,-0.0043,0.0015,Financial strength,-2.8666666666666667
Quick Ratio (MRQ),,0.11,Financial strength,
Interest Coverage (MRQ),4.9,22.68,Financial strength,0.2160493827160494
