,2017,2018,2019,2020,2016,Report,2015
high,36.14,35.0,28.57,21.84,,,
low,24.53,18.2,18.42,4.49,,,
change,-0.1276,-0.373,0.1243,-0.6308,,,
Date,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,2016-12-31 00:00:00,Balance Sheet,
Cash & Equivalents,6737.0,5540.0,5190.0,,6269.0,Balance Sheet,
Short Term Investments,,,92.0,,,Balance Sheet,
Cash and Short Term Invs,6737.0,5540.0,5282.0,,6269.0,Balance Sheet,
"Trade Accts Recvble, Gross",1602.0,2589.0,2383.0,,1555.0,Balance Sheet,
Prov. for Doubtful Accts,-117.0,-120.0,-95.0,,-86.0,Balance Sheet,
"Trade Accts Recvble, Net",3240.0,3765.0,3807.0,,2510.0,Balance Sheet,
Other Receivables,1025.0,762.0,830.0,,709.0,Balance Sheet,
"Total Receivables, Net",4265.0,4527.0,4637.0,,3220.0,Balance Sheet,
Invent. - Finished Goods,585.0,738.0,778.0,,58.0,Balance Sheet,
Invent. - Work In Progress,130.0,146.0,290.0,,36.0,Balance Sheet,
Invent. - Raw Materials,271.0,366.0,348.0,,240.0,Balance Sheet,
Inventories - Other,391.0,190.0,243.0,,712.0,Balance Sheet,
Total Inventory,1378.0,1441.0,1659.0,,1046.0,Balance Sheet,
Prepaid Expenses,136.0,91.0,67.0,,106.0,Balance Sheet,
Discont. Ops.-Curr. Assets,,10.0,26.0,,,Balance Sheet,
Other Current Assets,460.0,173.0,216.0,,296.0,Balance Sheet,
"Other Curr. Assets, Total",460.0,182.0,242.0,,296.0,Balance Sheet,
Total Current Assets,12977.0,11781.0,11886.0,,10937.0,Balance Sheet,
Buildings,,,627.0,,,Balance Sheet,
Land/Improvements,,,108.0,,,Balance Sheet,
Machinery/Equipment,,,1931.0,,,Balance Sheet,
Construction in Progress,,,131.0,,,Balance Sheet,
Other Prop./Plant/Equip.,5819.0,5328.0,3547.0,,4312.0,Balance Sheet,
Prop./Plant/Equip. - Gross,5819.0,5328.0,6343.0,,4312.0,Balance Sheet,
