,FTI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-0.99,Valuation,
Price/Sales (TTM),0.25,0.82,Valuation,0.3048780487804878
Price/Book (MRQ),0.84,1.22,Valuation,0.6885245901639344
"PEG Ratio (TTM, GAAP)",,0.0,Valuation,
Gross Profit Margin (TTM),0.17440000000000003,0.1746,Profitability,0.9988545246277206
Operating Profit Margin (TTM),-0.3521,-0.4504,Profitability,0.7817495559502664
Net Profit Margin (TTM),-0.4167,-0.466,Profitability,0.8942060085836909
Annual Dividend Yield,0.0687,0.0449,Dividend,1.530066815144766
Dividend Change %,0.0,-0.0363,Dividend,-0.0
"Dividend Growth Rate, 3 Years",,-0.015500000000000002,Dividend,
EPS Growth (MRQ),-0.34490000000000004,-72.6755,Gowth rates,0.004745753383189659
EPS Growth (TTM),-1.8951,-49.932,Gowth rates,0.03795361691900985
Revenue Growth (MRQ),-0.16010000000000002,-0.0477,Gowth rates,3.3563941299790363
Revenue Growth (TTM),0.1042,-0.0086,Gowth rates,-12.116279069767442
Return On Equity (TTM),-0.7906000000000001,-0.47869999999999996,Effectiveness,1.6515562983079175
Return On Assets (TTM),-0.24920000000000003,-0.251,Effectiveness,0.9928286852589643
Return On Investment (TTM),-0.4475,-0.3118,Effectiveness,1.4352148813341885
Revenue Per Employee (TTM),368281.0,371630.0,Effectiveness,0.9909883486263219
Total Debt/Total Capital (MRQ),0.5168,0.40659999999999996,Financial strength,1.2710280373831777
Change in Debt/Total Capital Quarter over Quarter,0.0044,0.0031,Financial strength,1.4193548387096775
Quick Ratio (MRQ),0.98,1.36,Financial strength,0.7205882352941175
Interest Coverage (MRQ),0.86,0.91,Financial strength,0.945054945054945
